seq,ax,ay,az,gx,gy,gz
0,-2024,2700,16488,68,80,-47
1,-2060,2564,16336,40,44,16
2,-2400,2264,16632,46,48,71
3,-2276,2396,16940,28,59,74
4,-3168,2356,16780,-19,96,96
5,-4208,2020,16804,-4,38,47
6,-3372,2096,16960,23,-14,-67
7,-2128,2660,17780,-13,28,-90
8,-2132,2704,17740,-114,20,27
9,-3368,2320,17100,-145,26,111
10,-3892,2192,17412,-77,-25,61
11,-3480,2288,18004,-54,-59,-19
12,-3224,2480,18172,-152,-14,-45
13,-3800,2284,18052,-221,-21,-32
14,-3836,2112,18368,-212,-56,-43
15,-3900,2120,19192,-247,-77,-37
16,-4708,2080,18968,-348,-112,-23
17,-5668,1648,18352,-423,-116,-66
18,-5664,1532,18348,-419,-170,-181
19,-5380,1804,18712,-477,-214,-250
20,-5268,1612,17760,-584,-219,-286
21,-5872,1284,17244,-595,-231,-298
22,-6320,712,16428,-547,-337,-369
23,-6084,436,16296,-527,-344,-494
24,-5920,28,15924,-578,-339,-593
25,-5808,-296,14640,-593,-346,-689
26,-5960,-152,14016,-538,-356,-783
27,-5456,-408,13564,-458,-424,-876
28,-4616,-512,13016,-412,-415,-962
29,-4304,-960,12436,-378,-409,-1040
30,-3848,-952,11084,-320,-386,-1126
31,-3240,-940,10616,-226,-312,-1231
32,-1436,-624,9572,-131,-188,-1342
33,-380,-220,9188,-4,-72,-1352
34,-36,-188,9276,153,4,-1316
35,1176,144,9284,324,-12,-1302
36,2600,488,9020,487,6,-1219
37,3148,812,9244,624,106,-1094
38,2772,952,9620,744,218,-957
39,2888,1400,10248,868,240,-871
40,2920,1752,10904,949,287,-774
41,1900,1940,12012,1037,335,-679
42,1916,2560,13028,1137,301,-614
43,1780,3396,13684,1180,260,-542
44,2308,4416,14568,1205,268,-517
45,2896,5120,15424,1184,313,-447
46,2600,5808,15996,1123,370,-333
47,2996,6096,16020,1111,373,-263
48,3724,6756,17032,1109,420,-161
49,4396,7724,17544,1067,438,18
50,3464,8100,18504,986,513,297
51,2764,8104,19036,936,532,419
52,2104,8280,19216,824,562,530
53,1400,8552,19432,750,607,627
54,1308,8968,20492,703,642,733
55,144,9048,22288,574,618,869
56,-476,9164,22848,431,504,961
57,-1288,9552,21620,174,507,1042
58,-2376,9276,21084,5,678,1040
59,-2320,9240,22104,-52,686,1039
60,-3128,8716,22832,-215,558,1117
61,-3660,8412,20936,-423,448,1179
62,-5664,7708,19824,-512,525,1207
63,-6940,7044,19868,-532,512,1089
64,-6684,7036,20400,-568,418,958
65,-6500,6688,19756,-688,247,936
66,-6592,6336,18240,-791,163,895
67,-6404,6092,17992,-788,121,811
68,-6508,5604,17972,-812,47,817
69,-6960,4996,17436,-848,-17,833
70,-7692,4332,16464,-896,-58,743
71,-8028,3864,16092,-895,-57,620
72,-8004,3228,15924,-873,-104,479
73,-7540,2772,15664,-865,-206,372
74,-7184,2544,14472,-879,-231,296
75,-6828,2264,13424,-827,-223,189
76,-5732,1928,12720,-735,-208,70
77,-4584,1944,11992,-692,-168,-6
78,-4140,1556,10792,-633,-151,-13
79,-3968,1060,9920,-484,-110,-37
80,-3008,888,10432,-297,-102,-98
81,-1224,1212,11320,-190,-49,-105
82,-928,1352,12224,-180,66,-15
83,-1600,1496,12500,-124,79,86
84,-2908,1276,13716,-18,64,120
85,-2940,1592,15076,60,29,42
86,-2668,1924,16500,5,38,-14
87,-2304,2364,16452,-97,-24,-36
88,-1980,2208,16164,-117,-65,-13
89,-1364,2256,16268,-57,-110,35
90,-1016,2156,16792,-60,-94,161
91,-2076,992,16992,-116,-78,279
