seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3844,660,17080,176,278,-149,-0.04,-0.06,-0.98,0.201233,5.761224,6.274927,156.479172
1,3356,460,16908,23,175,-82,-0.04,-0.06,-0.98,0.200867,5.801883,6.152056,156.531708
2,2956,308,16388,-5,86,-71,-0.04,-0.06,-0.98,0.200439,5.749066,6.031225,156.591888
3,3132,-60,15892,47,14,-79,-0.04,-0.06,-0.98,0.200012,5.677247,6.006639,156.644638
4,3016,20,16148,124,13,-120,-0.04,-0.06,-0.98,0.199463,5.657248,6.048558,156.704895
5,3400,272,16076,185,-69,-144,-0.04,-0.06,-0.98,0.198547,5.729366,6.106497,156.805939
6,4112,572,16092,201,-52,-153,-0.04,-0.06,-0.98,0.197388,5.885173,6.257728,156.926895
7,4284,944,15512,207,-47,-121,-0.04,-0.06,-0.98,0.196167,6.081875,6.423114,157.052307
8,4312,1220,15044,225,4,-97,-0.05,-0.06,-0.98,0.195312,6.304145,6.595506,157.132874
9,4088,1512,14916,262,44,-58,-0.05,-0.07,-0.98,0.194763,6.564229,6.713126,157.182129
10,4048,1496,14300,290,11,-41,-0.05,-0.07,-0.98,0.19458,7.04454,6.833878,157.186691
11,4288,1860,13516,334,25,-57,-0.05,-0.07,-0.98,0.19458,7.219184,6.896293,157.178467
12,4516,1920,13292,398,86,-54,-0.05,-0.08,-0.98,0.194458,7.633942,6.98281,157.179306
13,4332,1872,12736,457,122,-2,-0.05,-0.08,-0.98,0.194519,8.128385,7.022195,157.163223
14,3944,1612,12596,551,105,24,-0.05,-0.09,-0.98,0.195129,8.684156,7.029932,157.089615
15,4176,1996,12004,681,47,15,-0.04,-0.09,-0.98,0.196045,9.343729,7.046867,156.978729
16,4552,2820,12248,831,73,41,-0.04,-0.1,-0.97,0.196899,10.186455,7.128786,156.870438
17,4232,3404,12920,949,54,123,-0.04,-0.11,-0.97,0.198242,11.221195,7.21313,156.709122
18,4028,3604,12964,1048,-15,171,-0.04,-0.12,-0.97,0.200317,12.397707,7.338573,156.465302
19,3844,4404,13024,1146,15,155,-0.04,-0.13,-0.97,0.20282,13.699254,7.528526,156.171448
20,3836,4764,13596,1245,-4,175,-0.04,-0.14,-0.97,0.205261,15.135489,7.672796,155.901001
21,3740,5312,13972,1326,-42,200,-0.04,-0.16,-0.97,0.207825,16.678549,7.840402,155.624664
22,3864,5604,13876,1385,-31,177,-0.04,-0.17,-0.96,0.210571,18.318615,8.061101,155.335098
23,3800,6656,14320,1450,36,130,-0.03,-0.18,-0.96,0.213074,20.027235,8.256309,155.09053
24,3876,7532,15056,1501,52,143,-0.03,-0.2,-0.96,0.215271,21.826632,8.358886,154.915771
25,3800,7996,14704,1532,34,178,-0.03,-0.22,-0.95,0.217651,23.686371,8.45969,154.744019
26,3720,8860,15140,1634,25,160,-0.03,-0.23,-0.95,0.220215,25.6059,8.586829,154.567612
27,4264,9960,15324,1723,44,128,-0.02,-0.25,-0.94,0.222473,27.640869,8.712446,154.454559
28,4244,11112,16264,1734,154,168,-0.02,-0.27,-0.94,0.224609,29.782944,8.812234,154.393936
29,3572,11524,16944,1699,139,261,-0.01,-0.28,-0.93,0.227417,31.905214,8.844929,154.304352
30,3360,12088,16468,1688,35,271,-0.01,-0.3,-0.93,0.230774,33.949535,8.922068,154.166122
31,3596,12588,16304,1705,88,208,-0.01,-0.32,-0.92,0.233826,35.990299,9.084182,154.061584
32,4044,13408,16756,1735,169,144,-0.0,-0.33,-0.91,0.236389,38.036598,9.161747,154.060883
33,4092,14452,17552,1744,176,209,0.0,-0.35,-0.91,0.238708,40.106167,9.160079,154.140121
34,3256,14768,17392,1681,125,341,0.01,-0.37,-0.9,0.243591,43.09446,9.303957,154.114136
35,2584,14804,16564,1620,98,361,0.01,-0.38,-0.89,0.245544,44.032791,9.404034,154.062241
36,2636,15028,16692,1636,156,260,0.02,-0.4,-0.88,0.249146,45.871468,9.573333,154.010666
37,3136,15812,17464,1663,126,190,0.02,-0.41,-0.88,0.251953,47.714474,9.615799,154.108047
38,3420,16668,17776,1663,94,244,0.03,-0.42,-0.87,0.254089,49.5569,9.671691,154.292664
39,3264,17472,18784,1643,101,313,0.03,-0.44,-0.86,0.256653,51.358349,9.810878,154.424744
40,2988,18168,20116,1563,75,360,0.04,-0.46,-0.85,0.261475,53.86385,10.122252,154.49646
41,2588,18480,21000,1457,65,354,0.04,-0.46,-0.85,0.263184,54.624268,10.236776,154.5009
42,2236,18764,21128,1225,58,298,0.04,-0.47,-0.84,0.266296,55.935436,10.440926,154.50528
43,1808,18880,21868,968,132,224,0.04,-0.48,-0.83,0.269043,56.927227,10.560628,154.501175
44,1336,18876,22216,696,95,149,0.05,-0.48,-0.83,0.271423,57.561768,10.532736,154.501907
45,1176,18644,21752,438,-37,104,0.05,-0.49,-0.83,0.27301,57.848793,10.447754,154.493271
46,1152,18160,20892,193,-179,42,0.05,-0.49,-0.83,0.27356,57.861038,10.396628,154.475433
47,1340,17724,19372,-23,-258,-49,0.05,-0.48,-0.83,0.27301,57.637413,10.377423,154.460541
