timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,404,-1652,15580,-182,-91,64,0.09,-0.09,0.94,-0.32019,-13.043839,6.458675,143.073608,-729,1430,56,1417,-670,-348
20,1,504,-944,17216,-231,-122,41,0.09,-0.09,0.94,-0.320496,-13.120736,6.494822,143.040085,-736,1338,125,1384,-600,-264
40,2,-948,-3392,15612,-229,-12,74,0.09,-0.09,0.94,-0.320801,-13.386813,6.472502,143.026459,-957,989,318,1396,-212,-28
60,3,-1220,-4436,15520,-246,-46,206,0.09,-0.09,0.94,-0.321289,-13.520774,6.390682,142.982422,-1065,786,189,1331,27,-118
80,4,700,-2332,16824,-294,-130,407,0.09,-0.1,0.94,-0.325562,-14.066552,6.183108,142.507538,-1151,408,116,1156,393,-110
100,5,-464,-4500,15984,-314,-88,365,0.09,-0.1,0.93,-0.329285,-14.421412,6.104951,142.077469,-1021,374,176,1047,339,-31
120,6,-8,-5144,16720,-380,-76,481,0.09,-0.1,0.93,-0.331238,-14.664317,6.043832,141.859131,-1009,228,222,960,441,49
140,7,176,-6360,15688,-423,-18,563,0.09,-0.11,0.93,-0.338501,-15.538697,5.742191,141.043701,-805,-148,307,592,590,253
160,8,-472,-7264,15792,-322,-115,603,0.09,-0.11,0.93,-0.341187,-15.874362,5.62266,140.742981,-768,-342,228,423,723,236
180,9,-156,-7912,15916,-333,-193,708,0.1,-0.12,0.92,-0.350647,-16.772528,5.412354,139.645294,-813,-894,68,56,1183,244
200,10,-276,-8672,15840,-303,-204,750,0.1,-0.12,0.92,-0.354187,-17.096197,5.341971,139.231552,-794,-1045,97,-52,1274,324
220,11,-440,-10384,16412,-217,-283,825,0.1,-0.13,0.92,-0.365723,-18.00106,5.185493,137.857605,-788,-1484,116,-363,1568,495
240,12,-528,-12316,16740,-176,-259,1105,0.1,-0.13,0.91,-0.374878,-18.641655,5.030772,136.752365,-933,-2287,303,-763,2177,932
260,13,800,-10476,16052,-280,-129,1330,0.1,-0.14,0.91,-0.386841,-19.342567,4.685384,135.29393,-743,-2511,493,-1037,2122,1231
280,14,396,-11548,14224,-236,-198,1436,0.1,-0.14,0.9,-0.39978,-20.066872,4.219995,133.705612,-496,-2515,220,-1339,1940,1030
300,15,1096,-11528,14604,-187,-376,1660,0.11,-0.15,0.89,-0.414368,-20.767761,3.857904,131.872772,-315,-2639,-75,-1689,1871,842
320,16,1284,-12636,15672,-245,-493,1943,0.11,-0.15,0.88,-0.431213,-21.491661,3.545873,129.710571,-164,-2827,-133,-1999,1796,900
340,17,3044,-10220,17536,-219,-482,2205,0.11,-0.16,0.87,-0.450867,-22.207855,3.210501,127.128464,187,-2665,297,-2002,1244,1290
360,18,2976,-10644,16608,-192,-294,2348,0.12,-0.16,0.86,-0.471863,-22.761059,2.736862,124.310265,684,-2260,758,-1841,429,1604
380,19,3452,-10536,16176,-195,-300,2602,0.12,-0.17,0.85,-0.493896,-23.304419,1.997549,121.320114,994,-2186,547,-2025,41,1401
400,20,3908,-10124,15428,-154,-304,2824,0.12,-0.17,0.83,-0.517883,-23.773655,1.18719,117.986954,1375,-1889,550,-1943,-556,1292
420,21,5180,-8376,15752,-207,-364,3084,0.12,-0.17,0.81,-0.543396,-24.16011,0.301242,114.350655,1781,-1623,387,-1899,-1137,1026
440,22,6136,-7200,17288,-238,-381,3257,0.12,-0.18,0.79,-0.570374,-24.487358,-0.571269,110.380775,2384,-1106,605,-1483,-2025,985
460,23,6828,-4580,17180,-134,-324,3364,0.12,-0.18,0.77,-0.5979,-24.615587,-1.493951,106.211617,2936,-428,857,-789,-2852,880
480,24,7348,-2428,15608,38,-281,3387,0.12,-0.18,0.75,-0.625427,-24.412043,-2.460633,101.934311,3429,396,907,66,-3530,514
500,25,7348,652,15008,30,-366,3367,0.12,-0.17,0.73,-0.652527,-23.906096,-3.383218,97.615662,3856,1425,443,1003,-3991,-399
520,26,7592,2904,15796,-73,-431,3275,0.11,-0.17,0.71,-0.678772,-23.265751,-4.102415,93.294678,4175,2610,332,2307,-4241,-1022
540,27,8000,5004,17560,-244,-414,3226,0.11,-0.17,0.68,-0.703613,-22.639652,-4.679608,89.064064,4425,3618,452,3578,-4276,-1333
560,28,8316,8924,18456,-222,-316,3096,0.11,-0.16,0.66,-0.727234,-21.992294,-5.233531,84.923004,4627,4777,932,5134,-4115,-1342
580,29,8476,12724,16856,-112,-299,2718,0.11,-0.16,0.64,-0.748901,-21.002136,-5.716297,81.088768,4855,6403,1013,6953,-3729,-1826
600,30,8180,14920,17072,-113,-400,2306,0.1,-0.15,0.62,-0.767517,-19.814919,-5.887589,77.753853,4983,7836,841,8454,-3141,-2366
620,31,7188,16772,18660,-237,-380,1913,0.1,-0.14,0.6,-0.783264,-18.619429,-5.781309,74.887421,4881,9055,990,9772,-2316,-2434
640,32,6572,16668,19448,-244,-290,1564,0.09,-0.13,0.58,-0.795959,-17.535151,-5.592736,72.555634,4566,9646,1284,10437,-1458,-2118
660,33,6012,18208,18272,-174,-134,1163,0.09,-0.12,0.57,-0.806213,-16.412567,-5.390812,70.702332,4289,10244,1485,11027,-671,-1866
680,34,4980,18224,17688,-156,-51,713,0.08,-0.11,0.56,-0.813538,-15.26911,-5.218082,69.441986,3973,10652,1283,11277,7,-1922
700,35,4132,16816,16644,-191,18,310,0.08,-0.11,0.56,-0.817993,-14.199282,-5.025501,68.751137,3585,10684,987,11127,517,-1971
720,36,3796,16864,17008,-224,11,18,0.07,-0.1,0.56,-0.82019,-13.306593,-4.809572,68.483589,3175,10443,676,10716,863,-2005
