seq,ax,ay,az,gx,gy,gz
0,380,1668,16364,-122,190,148
1,532,1544,16380,-42,107,75
2,452,1584,16480,-1,58,54
3,664,1636,16364,-5,23,34
4,976,1804,16264,2,18,16
5,820,1792,16444,-1,14,42
6,744,1788,16140,-11,3,56
7,704,1712,16324,-12,26,52
8,656,1492,16596,-17,12,48
9,604,2012,16380,-33,-9,51
10,1116,1840,16304,-92,-36,104
11,304,1508,15832,-122,9,80
12,452,1536,15732,-24,18,14
13,720,1520,16436,44,8,-4
14,1024,1684,16440,22,-6,13
15,1028,1840,16172,-24,35,49
16,572,1560,16164,-45,78,63
17,424,1500,16308,-15,43,31
18,808,1472,16176,12,28,2
19,808,1500,16508,-4,55,21
20,784,1492,16176,-37,61,39
21,640,1552,16268,-27,53,34
22,968,1800,16232,2,14,2
23,1708,1964,16516,13,24,5
24,1820,2028,16928,-7,46,53
25,2012,1928,16292,-40,12,80
26,2160,1796,16192,-50,68,91
27,2576,1720,16240,-31,68,109
28,3048,2120,16264,-8,48,159
29,3284,2284,16640,12,48,238
30,3256,2304,16888,15,31,300
31,3624,2484,16808,0,10,341
32,3936,2596,16860,-33,49,405
33,4040,2448,16720,-85,81,488
34,3980,2568,16260,-108,105,564
35,4004,2584,16092,-86,125,660
36,3764,2512,15932,-66,139,745
37,3428,2504,15992,-52,160,807
38,3556,2484,15800,-51,168,853
39,3444,2520,15768,-51,179,930
40,3000,2464,15740,-32,158,1006
41,2748,2408,15600,12,135,1066
42,2388,2436,15868,48,130,1105
43,2356,2704,16092,63,125,1124
44,2332,2788,15988,46,132,1154
45,2344,2960,15716,42,156,1192
46,2280,3108,15724,36,223,1247
47,1792,2760,15640,6,285,1303
48,1256,2184,15168,-1,317,1301
49,1236,2440,15108,38,324,1285
50,1156,2820,15560,108,302,1339
51,668,3072,16068,184,223,1415
52,580,3436,16756,211,193,1424
53,728,3708,17056,146,212,1413
54,856,3784,16688,55,261,1431
55,404,3748,16312,30,263,1483
56,364,3708,16192,46,249,1511
57,232,3628,16252,53,253,1531
58,-152,3696,16228,34,262,1564
59,-452,3796,15976,-3,324,1565
60,-728,3592,15792,-50,413,1551
61,-1292,3664,15700,-62,456,1580
62,-2568,3044,14928,-82,453,1647
63,-3316,2704,15320,28,384,1643
64,-3216,2592,15096,6,386,1544
65,-3336,2836,15480,21,505,1506
66,-4940,2788,15924,8,508,1549
67,-6444,2396,15632,3,398,1552
68,-7888,1752,15876,45,341,1469
69,-8404,1160,16152,72,264,1269
70,-7392,-12,16172,62,219,1065
71,-8284,88,16092,30,218,895
72,-8540,688,15744,49,144,743
73,-7988,792,15592,84,81,587
74,-7128,836,16036,149,35,443
75,-6520,364,16472,181,-16,339
76,-6356,824,16552,173,-71,219
