seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,9980,4620,19072,89,372,-229,0.13,0.05,0.73,0.670959,14.466534,7.478235,-93.80899
1,11200,4800,18964,30,173,-37,0.13,0.05,0.73,0.671143,14.50399,7.480007,-93.772728
2,12216,5100,18540,-20,118,238,0.14,0.04,0.73,0.669373,14.485264,7.958848,-93.965508
3,12488,5308,18968,-23,100,382,0.14,0.04,0.73,0.667969,14.452171,8.186128,-94.151123
4,12756,5908,18948,-34,10,560,0.14,0.04,0.74,0.661621,14.301681,9.034541,-95.018524
5,13708,6348,19092,-9,-50,669,0.15,0.03,0.74,0.656128,14.205657,9.75839,-95.75412
6,14480,6948,19116,-40,-41,866,0.15,0.03,0.74,0.649475,14.118422,10.596686,-96.634087
7,14604,7300,18960,-110,21,1124,0.15,0.03,0.75,0.641052,13.925619,11.47736,-97.782936
8,13988,7488,18968,-169,60,1389,0.16,0.02,0.76,0.630432,13.589941,12.333355,-99.282158
9,13456,8004,19068,-169,21,1603,0.16,0.02,0.77,0.61792,13.132079,13.187671,-101.061142
10,13256,8748,18964,-133,-52,1805,0.16,0.01,0.78,0.603577,12.647192,14.109735,-103.067001
11,12664,9304,19088,-116,-65,2034,0.17,0.0,0.79,0.58728,12.14548,15.100781,-105.30381
12,11660,9752,19352,-139,-49,2292,0.17,-0.0,0.8,0.568848,11.576125,16.071354,-107.814133
13,10400,10120,19464,-195,-75,2530,0.17,-0.01,0.82,0.548096,10.86153,16.982027,-110.635941
14,9088,10428,18700,-244,-53,2676,0.18,-0.01,0.83,0.525513,9.971537,17.846075,-113.680893
15,7836,10632,19104,-228,-18,2762,0.18,-0.02,0.85,0.501648,9.005272,18.555763,-116.881165
16,6984,10716,18756,-230,-61,2840,0.18,-0.02,0.86,0.476868,8.017646,19.141464,-120.173569
17,5676,10676,18524,-264,-18,2945,0.18,-0.03,0.87,0.450989,6.955143,19.647467,-123.568642
18,4036,10488,18360,-286,-17,3015,0.18,-0.03,0.89,0.424011,5.795564,19.985781,-127.089699
19,1976,9988,17600,-288,-19,3051,0.18,-0.04,0.9,0.396179,4.585785,20.181463,-130.690643
20,-456,8464,17504,-289,9,3055,0.17,-0.04,0.91,0.367859,3.339184,20.192537,-134.331879
21,-2740,7084,17048,-282,3,2938,0.17,-0.04,0.92,0.339478,2.054418,19.98105,-137.968185
22,-4180,6072,17072,-222,-26,2707,0.16,-0.05,0.93,0.312256,0.838021,19.597984,-141.434265
23,-4612,5308,17412,-139,-103,2446,0.16,-0.05,0.94,0.286926,-0.192117,19.145672,-144.633743
24,-4416,4736,17632,-83,-138,2181,0.15,-0.05,0.95,0.263794,-1.017986,18.718113,-147.524521
25,-4184,4212,17408,-85,-114,1959,0.15,-0.05,0.96,0.24292,-1.689431,18.290771,-150.116653
26,-4768,3852,17488,-87,-49,1763,0.15,-0.05,0.96,0.223999,-2.283958,17.786848,-152.4655
27,-4700,3168,17508,-93,-15,1491,0.14,-0.05,0.97,0.207153,-2.793562,17.204607,-154.562973
28,-3804,3036,17688,-89,25,1197,0.14,-0.05,0.97,0.193176,-3.195793,16.599718,-156.309372
29,-2876,3116,18264,-102,21,955,0.13,-0.05,0.97,0.182007,-3.48298,16.018436,-157.712433
30,-2004,2808,18276,-115,-90,807,0.13,-0.05,0.98,0.172913,-3.696721,15.544991,-158.849579
31,-1312,2176,18012,-83,-198,664,0.13,-0.05,0.98,0.165161,-3.868186,15.278845,-159.794403
