timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,-7104,2120,10952,151,190,-146,0.06,0.14,-0.23,0.96051,2.609827,-17.612543,28.403631,-997,1106,-1865,-805,1735,-1426
20,1,-6304,112,11284,346,-19,38,0.06,0.15,-0.23,0.959778,2.92234,-17.861845,28.623032,-839,570,-2021,-954,1234,-1635
40,2,-6696,904,10780,434,-72,292,0.06,0.15,-0.23,0.959717,3.420898,-17.963493,28.575775,-800,138,-2150,-1150,873,-1786
60,3,-6452,3268,10096,327,-120,345,0.07,0.14,-0.23,0.960205,4.118616,-17.968662,28.292416,-729,272,-2356,-1073,1017,-1991
80,4,-6224,1952,8308,165,-26,171,0.07,0.14,-0.23,0.960571,4.673516,-18.004873,28.018314,-694,549,-2638,-982,1320,-2243
100,5,-4700,436,5168,318,-106,106,0.08,0.14,-0.23,0.960571,5.054234,-18.121878,27.932055,-504,200,-3423,-1167,1113,-3067
120,6,-3716,-1212,3028,361,-283,74,0.08,0.14,-0.22,0.96051,5.481709,-18.062296,27.922911,-124,-324,-4365,-1290,719,-4121
140,7,-1680,-4196,1776,562,-628,69,0.08,0.14,-0.23,0.960693,5.914379,-17.720188,27.935369,361,-1044,-5446,-1412,144,-5371
160,8,-752,-6544,4376,729,-1021,440,0.09,0.13,-0.23,0.961609,6.4467,-16.798395,27.81958,904,-2343,-5919,-1536,-1111,-6142
180,9,-772,-1816,3720,666,-1103,946,0.09,0.12,-0.22,0.963989,7.148878,-15.383554,27.0987,1214,-2923,-5704,-1309,-1806,-6128
200,10,584,-1424,1340,675,-1315,1005,0.09,0.1,-0.21,0.967102,8.075409,-13.807538,25.919384,1404,-2455,-6151,-791,-1362,-6584
220,11,3620,-3364,4536,852,-1695,1071,0.1,0.08,-0.2,0.970154,9.11724,-11.770772,24.669914,1827,-2394,-6466,-144,-1392,-6993
240,12,5480,-4128,5992,791,-1666,1393,0.1,0.06,-0.2,0.973511,10.100331,-9.211242,23.205896,2430,-2924,-5844,604,-2240,-6574
260,13,6248,-4132,4660,822,-1719,1687,0.1,0.04,-0.18,0.97699,10.967754,-6.56192,21.330559,2831,-3338,-5647,1203,-2799,-6461
280,14,7532,-3004,6816,915,-2026,2042,0.11,0.01,-0.17,0.980286,11.905039,-3.561543,19.067204,3068,-3508,-5495,1801,-3039,-6278
300,15,8108,-1028,8068,839,-2167,2406,0.11,-0.02,-0.14,0.983154,12.835164,-0.057076,16.323383,3217,-3333,-4832,2450,-3007,-5454
320,16,8760,108,9788,884,-2346,2564,0.11,-0.05,-0.12,0.985107,13.628987,3.707558,13.17448,3106,-2787,-4319,2887,-2484,-4643
340,17,10032,1404,15528,981,-2502,2815,0.12,-0.08,-0.09,0.985291,14.424602,7.799787,9.795892,3013,-2462,-3097,3066,-2297,-3170
360,18,10136,6580,20168,505,-2408,3233,0.12,-0.11,-0.06,0.98407,14.856167,12.053776,5.941216,2854,-1422,-1027,2859,-1584,-731
380,19,9180,12952,22364,138,-2346,3431,0.12,-0.15,-0.03,0.981689,14.573306,16.135454,1.759176,2396,456,837,2057,20,1554
400,20,8388,18888,31228,-3,-2459,3351,0.12,-0.18,-0,0.9776,14.022029,20.042206,-2.475119,1749,3000,2945,510,2176,3966
420,21,7980,23464,32767,-344,-2032,3026,0.11,-0.2,0.03,0.97229,13.286486,23.485859,-6.407422,1085,5744,5778,-1821,4240,6799
440,22,8416,25164,32767,-531,-1164,2502,0.11,-0.22,0.05,0.967773,12.346653,25.874477,-9.631258,657,8037,7404,-3689,6055,8340
460,23,8716,26672,32767,-378,-459,1988,0.11,-0.23,0.07,0.964905,11.591694,27.004208,-12.110475,540,9698,8273,-4857,7382,9201
480,24,8664,25120,32767,-282,143,1537,0.11,-0.23,0.09,0.96344,11.300319,27.231304,-13.975012,596,10600,8722,-5450,8031,9723
500,25,8804,24088,32767,-383,840,1235,0.11,-0.22,0.1,0.963745,11.12522,26.585642,-15.294385,696,10834,8914,-5591,8123,10002
520,26,8820,24688,32767,-381,1364,957,0.11,-0.21,0.11,0.965637,10.948691,25.136894,-16.146648,892,10823,8950,-5356,8087,10194
540,27,8676,23380,32767,-397,1875,622,0.11,-0.19,0.12,0.968445,10.933497,23.089119,-16.612909,1168,10733,8902,-4854,8041,10370
560,28,7732,24320,27448,-473,2448,254,0.11,-0.16,0.12,0.972229,11.008768,20.367876,-16.665432,1399,10616,8503,-4121,8104,10211
580,29,7204,20828,23020,-457,2608,-257,0.11,-0.14,0.12,0.976379,11.230482,17.169338,-16.226549,1558,10301,6690,-2945,8357,8645
600,30,6712,17932,21576,-321,2748,-628,0.11,-0.11,0.12,0.980286,11.590862,13.874752,-15.364949,1787,9266,5131,-1670,7870,7115
620,31,6124,16084,19172,-404,2947,-870,0.11,-0.08,0.12,0.983826,11.942715,10.370504,-14.251498,2008,8159,3849,-555,7232,5726
640,32,5808,13776,16656,-632,3049,-999,0.11,-0.05,0.11,0.986877,12.047401,6.688694,-12.965206,2255,7057,2491,441,6611,4144
660,33,4196,14092,9816,-763,3209,-1037,0.1,-0.02,0.1,0.989258,11.761738,2.929532,-11.681492,2552,6173,928,1240,6218,2294
680,34,2588,14780,7728,-528,2797,-1269,0.1,0.02,0.09,0.99054,11.586219,-0.854769,-10.374456,2487,5922,-1388,1306,6436,-207
700,35,1984,12244,8316,-372,2585,-1615,0.1,0.05,0.08,0.990845,11.66786,-4.230889,-8.750224,2455,5704,-2465,1289,6395,-1438
720,36,1164,10388,5564,-219,2550,-1802,0.1,0.07,0.07,0.990417,11.708405,-7.567085,-6.801725,2488,4993,-3225,1348,5803,-2453
740,37,804,8480,1532,-365,2309,-1869,0.1,0.1,0.05,0.989136,11.645966,-10.866845,-4.674838,2528,4158,-4475,1204,5157,-3956
760,38,720,4976,-2960,-491,1892,-1866,0.09,0.12,0.03,0.987488,11.158215,-13.857251,-2.551506,2662,3182,-6139,892,4409,-5887
780,39,-152,1392,-2848,-316,1270,-1732,0.09,0.14,0.02,0.985779,10.416567,-16.265955,-0.473268,2768,1903,-7566,475,3273,-7588
800,40,-572,648,-2720,-246,813,-1453,0.08,0.16,0,0.984253,9.659081,-17.965336,1.427471,2695,712,-8194,49,2078,-8400
820,41,-1264,8,-3620,-213,440,-1209,0.08,0.17,-0.01,0.983093,8.899207,-19.131403,3.010982,2565,-57,-8663,-385,1283,-8934
840,42,-968,-868,-3728,12,63,-1027,0.07,0.17,-0.02,0.982239,8.294958,-19.817598,4.379673,2505,-582,-9035,-685,743,-9338
860,43,-300,-1884,-3720,182,-256,-823,0.07,0.17,-0.03,0.981873,7.948792,-20.012749,5.59248,2524,-1048,-9224,-792,273,-9583
880,44,-360,1264,-3808,237,-634,-539,0.07,0.17,-0.04,0.981995,7.827851,-19.761768,6.557646,2545,-1282,-9411,-813,62,-9798
900,45,-104,812,-2428,92,-1015,-513,0.07,0.16,-0.05,0.982849,7.880615,-18.96748,7.232443,2466,-816,-9366,-681,529,-9680
920,46,324,-156,-2104,104,-1279,-429,0.07,0.15,-0.05,0.984253,7.783611,-17.744278,7.814859,2398,-895,-9161,-485,399,-9490
940,47,680,-2668,-1676,159,-1580,-314,0.07,0.14,-0.06,0.986023,7.692293,-16.163303,8.279918,2330,-1257,-9084,-316,2,-9456
960,48,1256,-1904,68,336,-1869,-53,0.07,0.12,-0.06,0.988098,7.685962,-14.126228,8.539721,2249,-1752,-8775,-62,-559,-9208
980,49,2244,1176,1560,335,-2123,143,0.08,0.1,-0.07,0.990173,7.981424,-11.668769,8.504698,2223,-1616,-8283,415,-503,-8701
1000,50,2380,1952,3084,135,-2373,186,0.08,0.07,-0.07,0.992188,8.333466,-8.799991,8.252786,2128,-977,-7669,931,31,-7963
1020,51,3160,3292,6060,187,-2607,221,0.08,0.04,-0.07,0.993774,8.567396,-5.620915,7.956563,1850,-578,-6872,1214,302,-7028
1040,52,4656,4228,7404,223,-2731,166,0.08,0.01,-0.07,0.994568,8.925822,-2.175395,7.662963,1754,-80,-5917,1625,634,-5919
1060,53,5820,4520,10100,247,-2859,90,0.08,-0.02,-0.07,0.994324,9.387182,1.490648,7.452725,1765,359,-4893,2027,885,-4721
1080,54,5388,5620,10712,163,-2925,106,0.08,-0.05,-0.07,0.99292,9.839677,5.250904,7.304002,1632,659,-3930,2138,1023,-3594
1100,55,5364,5916,14572,222,-3153,36,0.08,-0.09,-0.07,0.990356,10.329836,9.100334,7.202952,1233,1004,-3011,1872,1254,-2551
1120,56,6340,8676,20792,202,-3232,-3,0.08,-0.12,-0.07,0.986389,10.941509,13.088733,7.191818,822,1379,-1183,1253,1389,-690
1140,57,7020,9636,23812,-151,-3057,-173,0.09,-0.15,-0.08,0.981323,11.523745,16.892059,7.360255,557,2202,977,482,1906,1498
1160,58,7616,8300,27692,-254,-2851,-372,0.08,-0.18,-0.08,0.975769,11.854073,20.32711,7.950435,394,2541,3025,-445,1996,3402
1180,59,7652,6440,30580,-144,-2514,-506,0.08,-0.21,-0.09,0.969971,12.206545,23.286428,8.825092,276,2326,5022,-1559,1604,5068
1200,60,8584,6172,30852,-311,-2192,-544,0.08,-0.23,-0.1,0.964539,12.541399,25.679932,9.833666,181,2027,6523,-2559,1236,6213
1220,61,9576,2192,32140,-429,-1948,-612,0.07,-0.25,-0.11,0.959534,12.63054,27.698086,11.099515,296,1377,7604,-3288,596,6973
1240,62,9420,-380,32767,-353,-1598,-483,0.07,-0.26,-0.11,0.9552,12.434336,29.358448,12.408479,431,266,8441,-3987,-414,7445
1260,63,8448,1232,30796,-281,-1209,-261,0.06,-0.27,-0.12,0.952148,12.093013,30.555363,13.410917,322,-460,8772,-4538,-953,7466
1280,64,7960,2048,31528,-343,-1054,-165,0.05,-0.28,-0.12,0.950012,11.754669,31.3939,14.138936,1,-514,8719,-4882,-797,7197
1300,65,7636,1160,32032,-738,-791,-9,0.05,-0.29,-0.13,0.948608,11.112759,32.013504,14.881913,-181,-453,8954,-5206,-550,7279
1320,66,6492,2000,28084,-769,-314,89,0.04,-0.29,-0.13,0.94873,9.888218,32.191063,15.5881,-472,-373,8725,-5280,-210,6968
1340,67,6196,2160,23928,-411,-72,-53,0.03,-0.28,-0.13,0.949707,8.932446,31.93384,16.062332,-797,-136,7548,-4786,205,5888
