timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,-628,-4208,13972,176,-58,-169,0.16,0.23,-0.78,-0.564758,-32.617878,0.442393,-111.103462,-186,791,-238,-455,-338,-628
20,1,192,-8740,17652,241,39,-718,0.16,0.23,-0.77,-0.569031,-32.065704,0.808766,-110.492859,-137,1247,329,-1133,-498,-385
40,2,548,-10952,17560,76,351,-624,0.16,0.23,-0.77,-0.575745,-31.753618,1.114122,-109.453117,-37,244,1067,-721,-271,778
60,3,36,-8732,16396,4,446,-487,0.16,0.22,-0.77,-0.581299,-31.696325,1.050672,-108.499504,5,-210,1239,-449,-145,1164
80,4,860,-10508,16344,-23,425,-604,0.16,0.22,-0.76,-0.586731,-31.637285,0.945727,-107.549423,93,-223,1193,-440,-41,1134
100,5,592,-11772,17240,-66,402,-527,0.16,0.22,-0.76,-0.592407,-31.708731,0.916143,-106.560402,148,-748,1246,-48,116,1455
120,6,1060,-12688,19576,-170,455,-468,0.16,0.22,-0.75,-0.597046,-31.878866,0.837314,-105.718246,211,-1091,1708,-18,182,2029
140,7,1480,-13568,19584,-94,718,-384,0.17,0.22,-0.75,-0.601624,-32.076591,0.590411,-104.824028,342,-1563,2334,14,324,2811
160,8,868,-15128,18988,-44,914,-263,0.17,0.22,-0.75,-0.606079,-32.227844,0.049888,-103.854683,476,-2124,2504,355,557,3251
180,9,208,-17688,18660,-31,1069,-80,0.18,0.21,-0.74,-0.609619,-32.480919,-0.771028,-102.924255,473,-2910,2530,977,721,3690
200,10,72,-16564,16756,109,1230,160,0.19,0.21,-0.74,-0.611755,-32.741154,-1.912688,-102.111626,458,-3561,2374,1580,882,3905
220,11,-748,-17040,14780,24,1231,246,0.2,0.2,-0.74,-0.612732,-32.926834,-3.261295,-101.416405,562,-3639,1760,1942,1096,3417
240,12,-732,-17064,14488,-128,1070,356,0.22,0.19,-0.74,-0.612366,-33.364315,-4.618723,-100.875748,550,-3734,1110,2352,1173,2926
260,13,332,-18820,15628,-131,1046,460,0.23,0.19,-0.73,-0.610779,-33.92522,-5.85276,-100.540955,693,-3994,968,2590,1408,2946
280,14,1304,-17808,13248,-80,1317,711,0.24,0.18,-0.73,-0.608337,-34.472698,-7.199902,-100.284615,1116,-4370,928,2821,1949,3073
300,15,2420,-16476,7844,-42,1498,831,0.25,0.18,-0.73,-0.604858,-35.002178,-8.923689,-100.012444,1720,-4084,31,2998,2520,2072
320,16,3236,-16448,4508,51,1311,957,0.27,0.17,-0.73,-0.600769,-35.545826,-10.713291,-99.761803,2377,-3810,-1544,3611,3043,500
340,17,4404,-16484,2592,42,1106,1174,0.28,0.17,-0.74,-0.595093,-36.071648,-12.33675,-99.854027,3059,-3669,-2892,4212,3571,-826
360,18,5676,-16352,-1692,15,935,1467,0.29,0.16,-0.74,-0.58728,-36.609276,-13.91415,-100.33448,3817,-3549,-4250,4833,4140,-2175
380,19,6176,-14992,-5556,162,612,1826,0.3,0.16,-0.74,-0.576538,-37.10561,-15.478698,-101.373619,4556,-3379,-5946,5618,4621,-3821
400,20,6968,-12044,-5904,492,180,2164,0.31,0.15,-0.75,-0.562988,-37.170628,-16.958942,-103.128296,5187,-2856,-7390,5940,4918,-5495
420,21,6544,-6812,-5680,810,-155,2474,0.31,0.15,-0.76,-0.54718,-36.454536,-18.275644,-105.626488,5628,-1777,-8167,5337,4903,-6999
440,22,6016,-1852,-7180,1086,-469,2558,0.31,0.14,-0.78,-0.529724,-34.901276,-19.516466,-108.608955,5827,-23,-8855,4092,4306,-8780
460,23,6516,752,-8012,1123,-918,2601,0.3,0.13,-0.8,-0.511414,-32.746845,-20.394419,-111.915352,5960,1576,-9552,2854,3578,-10406
480,24,7148,3608,-6940,962,-1447,2645,0.29,0.12,-0.81,-0.491272,-30.348825,-20.718409,-115.647041,6148,2967,-10088,1545,2936,-11719
500,25,7256,4936,-4092,1013,-1902,2608,0.27,0.11,-0.83,-0.469727,-27.772818,-20.304512,-119.704559,6278,3993,-9965,36,2448,-12193
520,26,7444,10968,-1684,1097,-2259,2597,0.25,0.1,-0.85,-0.447266,-24.842976,-19.22345,-123.854195,6230,5218,-9384,-1876,1631,-12162
