seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,3480,-9048,21564,-162,160,-441,0.21,-0.09,0.9,-0.375916,-19.905207,17.975676,134.66713,-1008,-1932,2451,501,2054,2506
1,3036,-9616,20460,-271,114,-396,0.21,-0.09,0.9,-0.37384,-19.999998,17.876917,135.000107,-963,-1953,2603,537,2026,2667
2,3152,-9824,20432,-286,54,-418,0.21,-0.1,0.9,-0.369812,-20.307669,17.726553,135.642105,-948,-2032,2692,544,2050,2787
3,4172,-10012,21824,-273,-119,-453,0.21,-0.1,0.9,-0.36554,-20.607149,17.694715,136.288101,-884,-2092,2943,609,2025,3057
4,4864,-9720,23404,-363,-278,-438,0.21,-0.1,0.9,-0.361145,-20.909304,17.914423,136.891861,-628,-2080,3395,694,1815,3530
5,5464,-9008,24536,-579,-469,-408,0.22,-0.11,0.9,-0.35675,-21.360844,18.320431,137.469269,-398,-1966,4074,981,1543,4156
6,6000,-7992,23448,-953,-604,-361,0.22,-0.11,0.9,-0.352295,-22.0933,18.929029,138.04248,-166,-1677,4490,1278,1145,4478
7,7088,-7316,23248,-1170,-629,-343,0.23,-0.12,0.9,-0.347412,-23.171982,19.645229,138.704178,23,-1241,4606,1568,666,4455
8,8804,-6244,22968,-1477,-687,-252,0.24,-0.12,0.9,-0.34198,-24.556698,20.44253,139.481079,433,-694,4676,1763,-58,4406
9,10804,-5132,20236,-1782,-802,-24,0.25,-0.14,0.9,-0.336914,-26.334646,21.358675,140.256332,1013,-42,4599,1836,-977,4224
10,11424,-4792,15620,-1934,-718,330,0.27,-0.15,0.89,-0.333313,-28.575014,22.309004,140.908417,1641,672,3643,1406,-1908,3285
11,11504,-5108,14176,-1856,-689,688,0.28,-0.16,0.89,-0.33252,-31.086308,23.002155,141.28299,1969,1194,2568,931,-2464,2226
12,12608,-4304,12548,-1762,-721,1075,0.29,-0.18,0.88,-0.335083,-33.669842,23.462646,141.229187,2270,1608,1697,490,-2909,1381
13,12516,-3532,11108,-1729,-699,1737,0.31,-0.19,0.87,-0.34137,-36.359901,23.647194,140.665466,2640,2142,1044,181,-3488,665
14,12044,-3132,7012,-1675,-720,2184,0.32,-0.21,0.86,-0.352478,-39.224323,23.361744,139.439835,2815,2716,324,-45,-3917,-230
15,10024,-3620,4768,-1416,-506,2737,0.33,-0.23,0.84,-0.368713,-42.214657,22.486441,137.473022,2728,3219,-971,-579,-3973,-1619
16,8480,-3252,4004,-1143,-274,3217,0.33,-0.24,0.82,-0.389709,-44.942131,20.781731,134.806808,2443,3606,-1888,-821,-3770,-2763
17,5600,-3292,2048,-888,-53,3662,0.33,-0.26,0.81,-0.414856,-47.284023,18.271402,131.496063,1980,3987,-2634,-867,-3334,-3857
18,1256,-3376,576,-417,111,4115,0.32,-0.28,0.79,-0.443542,-49.186848,15.011559,127.616104,1396,4330,-3413,-915,-2631,-4958
19,-796,-2992,-612,-7,34,4271,0.31,-0.3,0.77,-0.476013,-50.43742,11.135204,122.991135,502,4526,-4109,-865,-1458,-5894
20,-3668,-2268,-192,555,36,4434,0.3,-0.31,0.74,-0.511475,-50.839958,6.934818,117.629448,-351,4761,-4732,-770,-236,-6672
21,-7468,-1848,848,969,181,4624,0.28,-0.32,0.72,-0.549133,-50.321609,2.382101,111.799332,-1190,5000,-4959,-385,1023,-7058
22,-14300,-3116,2188,1417,263,4737,0.25,-0.33,0.69,-0.58783,-49.007168,-2.610975,105.885292,-2296,4985,-4954,23,2654,-6900
