seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,7772,5824,20256,-2169,369,-601,-0.08,0.01,-0.58,0.813354,-8.336985,4.019341,70.248886
1,9232,6036,20300,-2273,370,-457,-0.09,0.02,-0.58,0.810669,-9.416736,4.025191,70.582489
2,11432,6212,18864,-2497,307,-91,-0.1,0.03,-0.58,0.80603,-11.735849,4.132319,70.990181
3,12096,5628,15968,-2771,394,528,-0.12,0.04,-0.58,0.803406,-14.363778,4.272393,70.811333
4,10388,4064,12400,-2928,601,1214,-0.14,0.06,-0.57,0.803894,-17.391878,4.046016,69.787544
5,8868,2848,9872,-2805,588,1709,-0.16,0.08,-0.56,0.806946,-20.623549,3.281859,68.029633
6,8532,2304,7944,-2583,477,2115,-0.18,0.1,-0.55,0.811646,-23.744349,2.286989,65.735786
7,7188,1544,5788,-2423,504,2658,-0.2,0.12,-0.53,0.818298,-26.635893,1.076417,62.838902
8,5420,1536,4052,-2151,440,3158,-0.21,0.14,-0.5,0.827271,-29.339447,-0.627286,59.195015
9,3324,1440,3360,-1713,302,3538,-0.23,0.16,-0.47,0.838379,-31.619057,-2.744803,54.881832
10,1432,1304,3588,-1237,23,3893,-0.23,0.17,-0.44,0.85144,-33.230495,-5.168803,50.045837
11,-268,1428,3216,-789,-255,4203,-0.23,0.19,-0.4,0.866394,-34.051239,-7.718605,44.74007
12,-1664,1496,3604,-419,-382,4501,-0.23,0.2,-0.36,0.882629,-34.070301,-10.335273,39.088486
13,-2564,3112,3920,-62,-510,4705,-0.23,0.2,-0.31,0.899292,-33.33424,-13.054914,33.194393
14,-4556,4444,5968,262,-654,4970,-0.22,0.21,-0.27,0.915649,-31.74859,-15.744328,27.244606
15,-7836,5132,7544,478,-861,5268,-0.2,0.21,-0.22,0.931519,-29.273067,-18.32534,21.135902
16,-10400,6348,7632,818,-1178,5327,-0.18,0.22,-0.16,0.945923,-25.982475,-20.649494,14.796693
17,-12452,5840,8884,1519,-1407,5055,-0.16,0.22,-0.11,0.958252,-21.781857,-22.357811,8.647758
18,-14060,4812,10480,2137,-1380,4453,-0.12,0.21,-0.05,0.968079,-16.648373,-23.23127,3.304161
19,-14684,5248,12648,2365,-1269,3606,-0.09,0.2,-0.01,0.97467,-11.158778,-23.407215,-0.943005
20,-14948,6220,13128,2438,-1128,2728,-0.05,0.2,0.02,0.978333,-5.926786,-23.018118,-4.029494
21,-15036,7064,13452,2560,-845,1866,-0.02,0.19,0.05,0.979858,-1.134351,-22.366055,-6.001139
22,-15396,8028,15032,2690,-624,1066,0.02,0.19,0.06,0.979675,3.279492,-21.832508,-6.867591
23,-15776,9408,18856,2768,-842,369,0.05,0.19,0.06,0.978455,7.414572,-21.425768,-6.664576
24,-14376,10176,18900,2707,-1554,-164,0.08,0.19,0.06,0.977295,11.230225,-20.648466,-5.573048
25,-12444,10896,18000,2623,-1907,-607,0.11,0.17,0.05,0.976868,14.603452,-19.157459,-3.882733
26,-11824,11032,19032,2528,-1804,-1026,0.14,0.16,0.04,0.976196,17.642939,-17.464912,-1.817339
27,-11532,10880,19272,2367,-1688,-1574,0.17,0.15,0.02,0.974609,20.365181,-16.118834,0.614631
28,-9932,10632,18608,2206,-1575,-2187,0.19,0.13,-0.0,0.972168,22.671038,-15.227973,3.530739
29,-8168,11940,19820,2119,-1345,-2807,0.21,0.12,-0.03,0.968567,24.607735,-14.845078,7.029442
30,-5680,12536,20244,1918,-1077,-3309,0.23,0.12,-0.07,0.963379,26.274204,-15.03066,11.090159
31,-3908,12824,21248,1532,-574,-3614,0.25,0.11,-0.11,0.956482,27.523096,-15.757889,15.517589
32,-3504,12616,21596,1088,-205,-3784,0.26,0.12,-0.15,0.948303,28.165747,-17.104145,20.101431
33,-2676,13252,22780,750,-183,-3929,0.26,0.12,-0.19,0.939087,28.134838,-18.863621,24.768211
34,-704,13556,22848,395,-577,-3862,0.26,0.12,-0.23,0.929199,27.499508,-20.525507,29.459814
35,1992,12992,21332,-27,-955,-3570,0.26,0.12,-0.27,0.9198,26.271345,-21.474794,33.865936
36,4568,11988,18896,-381,-876,-3212,0.25,0.12,-0.3,0.911499,24.583385,-21.684689,37.808098
37,5004,10600,18860,-678,-409,-2803,0.24,0.12,-0.33,0.904053,22.704493,-21.6616,41.267132
38,4648,9592,18264,-963,-207,-2364,0.23,0.12,-0.36,0.8974,20.691906,-21.790167,44.256615
39,4412,8612,17208,-1150,-315,-1919,0.22,0.12,-0.38,0.892151,18.553446,-21.827499,46.738358
40,4392,7280,15212,-1245,-464,-1466,0.2,0.12,-0.4,0.888611,16.400934,-21.511013,48.68877
41,4360,6136,13028,-1242,-416,-1018,0.18,0.12,-0.41,0.886658,14.356872,-20.865314,50.120155
