timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,16644,19116,28040,-1446,5000,-1934,0.15,0.09,0.89,0.416321,16.271242,11.0902,-130.326904,6190,7669,7813,-6673,90,10657
20,1,14940,17304,13892,-2866,5383,-1999,0.12,0.09,0.89,0.424194,15.369684,7.963142,-129.707184,6693,7585,6504,-7780,863,9128
40,2,13204,11768,1884,-3380,5364,-2434,0.03,0.09,0.89,0.449097,10.804158,-1.339826,-126.889275,7530,6995,569,-9939,2064,1693
60,3,12760,6516,-8236,-2566,5236,-2828,0,0.09,0.88,0.458252,9.05964,-4.468859,-125.595184,7802,6451,-1740,-9896,2416,-1308
80,4,8844,-6348,-12276,-733,3517,-3291,-0.08,0.09,0.86,0.492126,5.177076,-12.875279,-120.305092,8079,2725,-8688,-6097,3328,-9994
100,5,6860,-7940,-10204,-163,2564,-2958,-0.09,0.1,0.85,0.505249,4.231449,-14.899991,-118.225906,7841,1007,-9991,-3978,3542,-11572
120,6,4884,-4288,-7464,-292,1705,-2263,-0.13,0.1,0.83,0.538452,1.902529,-18.99828,-112.869911,6762,-1420,-11239,-157,2911,-12865
140,7,4352,-4140,-10664,-238,1586,-2054,-0.14,0.1,0.82,0.547241,1.12488,-19.991613,-111.3918,6445,-1561,-11320,395,2524,-12866
160,8,3036,-5024,-14104,104,813,-1750,-0.16,0.11,0.8,0.570435,-0.908602,-22.551416,-107.378029,5703,-1728,-12758,1704,983,-13942
180,9,2056,-6312,-14948,400,240,-1495,-0.17,0.11,0.79,0.577515,-1.411323,-23.031797,-106.21563,5455,-1879,-13250,2146,524,-14280
200,10,2564,-4908,-17716,1106,-685,-990,-0.17,0.11,0.78,0.59613,-1.916036,-23.250044,-103.52668,4752,-2292,-14604,3033,-620,-15214
220,11,3944,-5996,-18864,1394,-1457,-749,-0.16,0.11,0.77,0.601685,-1.618582,-22.862755,-102.908768,4665,-2315,-15145,3036,-852,-15701
240,12,7376,-6276,-20292,2146,-3169,-40,-0.13,0.11,0.77,0.616089,0.375412,-19.5602,-101.959656,4922,-3004,-16704,3034,-302,-17405
260,13,11424,-2280,-17092,2519,-4885,602,-0.08,0.1,0.77,0.621704,2.933912,-14.83047,-102.272835,5363,-3089,-17189,1986,1216,-18118
280,14,14732,1852,-10992,2465,-6159,953,-0.05,0.09,0.78,0.62262,4.468438,-11.521233,-102.646217,5628,-2797,-16970,962,2366,-17912
300,15,21480,5824,1036,2330,-7597,1109,0.06,0.05,0.78,0.61731,9.181954,1.93682,-103.47863,6557,-993,-13531,-2759,6550,-13285
320,16,24828,7532,8136,2364,-8057,1126,0.11,0.03,0.78,0.612915,10.777133,7.24769,-103.339058,6907,-486,-11704,-3555,7706,-10623
340,17,29716,11180,20636,2309,-8086,1050,0.24,-0.02,0.77,0.590576,15.977988,23.900749,-101.228516,7918,1087,-4776,-4103,8325,-716
360,18,32767,12268,27908,2100,-7750,898,0.29,-0.04,0.76,0.58075,17.950638,29.251492,-99.950874,8280,1645,-2108,-3628,7417,2738
380,19,32767,11412,32767,1267,-6841,869,0.4,-0.1,0.73,0.550354,23.973112,43.285618,-95.098305,9102,2563,5731,-262,2306,10809
400,20,32767,14108,32767,1135,-5992,875,0.43,-0.11,0.72,0.540527,25.829004,47.220413,-93.496208,9147,2783,7552,756,393,12153
420,21,32767,20076,32767,763,-4218,534,0.49,-0.15,0.69,0.514099,32.013954,56.268997,-89.284538,9085,4687,11009,1768,-4819,14117
440,22,32767,21212,32767,321,-2136,38,0.51,-0.16,0.67,0.507202,35.512428,58.911598,-87.267464,9105,6150,12120,1492,-6945,14735
460,23,32767,19112,32767,-418,689,-694,0.51,-0.16,0.67,0.514343,36.186897,58.030624,-86.560799,9293,6754,12440,1208,-7129,15309
480,24,32767,14728,32767,-1152,2668,-1185,0.49,-0.15,0.67,0.531738,34.291183,54.784634,-86.90654,9615,6266,12241,1260,-5722,15720
