seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,108,-1652,20540,638,-178,218,-0.04,-0.05,0.23,0.97113,-6.0969,4.076807,-26.40589,-408,-130,1036,-420,-234,1012
1,-740,-3080,19692,533,-41,221,-0.04,-0.05,0.23,0.971008,-5.757684,4.108354,-26.566422,-486,-265,1317,-457,-380,1298
2,-1016,-2056,20320,593,-61,313,-0.03,-0.04,0.24,0.970398,-4.856991,3.961087,-27.120476,-764,-474,1476,-609,-707,1454
3,-1896,-896,22696,612,-43,420,-0.03,-0.04,0.24,0.970032,-4.524655,3.920038,-27.361938,-846,-457,1692,-702,-731,1660
4,-2584,1068,26240,481,186,453,-0.02,-0.04,0.24,0.968689,-3.45663,3.557556,-28.257572,-1245,4,2982,-1342,-517,2893
5,-1512,308,28344,442,487,299,-0.02,-0.03,0.25,0.967957,-2.761815,2.98094,-28.773746,-1206,500,4092,-1576,-73,3994
6,-1832,2716,30012,686,811,369,-0.01,-0.02,0.25,0.967346,-2.053669,2.052755,-29.181643,-1106,591,5030,-1497,45,4962
7,-2060,6264,31204,742,1257,343,-0.01,-0.01,0.26,0.966675,-0.951525,0.724971,-29.632984,-984,1243,6055,-1585,643,6020
8,-1468,9760,31120,442,1752,124,-0.0,0.01,0.26,0.965881,0.212489,-1.145106,-29.98411,-759,2366,6753,-1709,1715,6774
9,-840,11184,28232,72,2261,-272,0.0,0.03,0.26,0.965454,1.088465,-3.546988,-29.998322,-243,3532,6794,-1543,3037,6861
10,440,12100,24096,-166,2604,-689,-0.0,0.06,0.25,0.965393,1.599528,-6.403955,-29.611755,411,4454,6021,-1165,4265,6058
11,1780,10512,19312,-360,2850,-1128,-0.01,0.08,0.25,0.965576,1.780594,-9.535741,-28.822617,1349,4964,4685,-445,5247,4546
12,3348,8468,13292,-655,2933,-1448,-0.01,0.11,0.23,0.965759,1.495655,-12.810858,-27.696997,2375,4940,2745,384,5679,2274
13,3548,5976,6056,-915,2876,-1587,-0.03,0.14,0.22,0.965576,0.521676,-16.068079,-26.421406,3340,4326,346,1119,5331,-554
14,3312,4120,-1816,-966,2521,-1742,-0.04,0.16,0.2,0.964783,-0.950034,-19.186464,-25.121098,4050,3729,-2712,1193,4542,-3950
15,3320,-956,-8676,-875,1768,-1979,-0.06,0.18,0.19,0.963989,-2.789078,-21.799738,-23.612701,4488,2844,-6124,798,3037,-7473
16,4684,-7120,-8156,-523,802,-2025,-0.07,0.19,0.16,0.964539,-4.929696,-23.301598,-21.66979,4930,1131,-8650,904,704,-9954
17,6932,-11420,-9040,-268,286,-1851,-0.09,0.19,0.14,0.966187,-7.023265,-23.694265,-19.513609,5431,-805,-10058,1506,-1687,-11232
18,7324,-17212,-12896,-56,-291,-1436,-0.1,0.19,0.13,0.968323,-8.988976,-23.348072,-17.403496,6035,-3044,-11299,2336,-4360,-12200
19,7696,-17056,-14324,133,-1157,-668,-0.11,0.18,0.11,0.970703,-10.650447,-22.207581,-15.80808,6342,-4904,-12660,2857,-6735,-13075
20,8524,-12232,-15436,544,-2238,-13,-0.11,0.16,0.11,0.973877,-11.484875,-20.133345,-14.964434,6349,-5348,-13893,3078,-7571,-13967
21,9280,-8164,-7448,872,-3587,355,-0.11,0.13,0.11,0.97876,-11.176498,-16.618237,-14.548952,6280,-4622,-14056,3689,-6671,-14150
