timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,9988,4016,19992,780,-201,48,0.28,0.13,0.74,-0.597534,-10.568257,34.579449,97.566109,198,2971,2465,3471,372,1658
20,1,11596,1960,22464,942,-42,33,0.28,0.13,0.74,-0.598572,-9.818456,34.595604,97.638138,357,2849,2781,3395,461,2058
40,2,11444,3428,24592,764,202,322,0.27,0.14,0.74,-0.601685,-8.357767,34.440788,97.699699,682,2370,3721,3058,852,3137
60,3,10352,5772,24764,383,425,492,0.26,0.14,0.74,-0.606689,-7.316132,33.885826,97.525177,932,2447,4537,3209,1079,3996
80,4,10084,8068,26048,205,549,362,0.25,0.14,0.74,-0.611816,-6.684001,33.048664,97.306046,916,3195,4923,3956,1119,4286
100,5,10636,8736,28424,318,849,73,0.24,0.14,0.74,-0.615417,-5.908195,32.043068,97.369217,938,3909,5551,4695,1235,4836
120,6,11620,7968,29620,325,1297,-176,0.23,0.14,0.74,-0.617493,-4.755114,30.655607,97.834518,1174,4354,6348,5122,1245,5729
140,7,11488,8468,27872,260,1718,-230,0.21,0.14,0.75,-0.618347,-3.507912,28.775652,98.594643,1613,4304,6787,4934,900,6483
160,8,10784,9672,26216,-14,1920,-258,0.19,0.13,0.75,-0.618835,-2.420292,26.511328,99.418121,1975,4394,6524,4779,195,6547
180,9,10336,10912,25684,-127,2063,-373,0.17,0.12,0.76,-0.61853,-1.642725,24.090076,100.253456,2185,4711,6015,4867,-549,6257
200,10,10384,11144,25572,-140,2310,-578,0.15,0.11,0.76,-0.616882,-0.893932,21.52408,101.230728,2386,5105,5542,5031,-1292,5956
220,11,10396,12112,23896,-242,2660,-748,0.13,0.1,0.77,-0.613647,-0.124869,18.700027,102.40274,2688,5313,5203,4986,-2062,5778
240,12,9788,12476,20852,-527,2848,-909,0.1,0.09,0.78,-0.608765,0.501583,15.551429,103.740875,3041,5561,4457,4927,-3027,5155
260,13,9220,13300,18452,-736,2930,-1085,0.08,0.07,0.79,-0.602112,0.779375,12.286605,105.189339,3309,5855,3400,4928,-3957,4103
280,14,7996,14076,14924,-767,2983,-1371,0.06,0.05,0.8,-0.593323,0.847855,8.96935,106.813309,3481,6204,2095,4995,-4767,2702
300,15,7416,11512,13376,-680,2994,-1716,0.04,0.03,0.81,-0.581604,0.897419,5.623908,108.724747,3599,6412,695,4928,-5380,1144
320,16,6528,11524,10264,-643,3009,-1900,0.01,0.02,0.82,-0.566895,0.864733,2.284797,110.914642,3746,6087,-427,4348,-5684,-185
340,17,5800,10744,8200,-775,2796,-2060,-0.01,0,0.83,-0.550171,0.70646,-1.033872,113.232307,3839,5888,-1730,3927,-5830,-1726
360,18,5176,8784,5552,-852,2599,-2167,-0.03,-0.02,0.85,-0.531555,0.211265,-4.097289,115.671219,3892,5582,-2895,3442,-5739,-3145
380,19,4152,6812,2496,-789,2362,-2225,-0.05,-0.04,0.86,-0.511719,-0.578039,-6.913256,118.164787,3918,5057,-4138,2805,-5360,-4629
400,20,3400,5448,292,-716,2085,-2283,-0.07,-0.06,0.87,-0.480164,-2.060895,-10.602437,121.981468,3816,4130,-6051,1893,-4303,-6792
420,21,2936,3732,-1056,-497,1800,-2358,-0.08,-0.07,0.88,-0.469055,-2.612196,-11.65592,123.30188,3772,3769,-6588,1570,-3868,-7375
440,22,1740,1780,-4552,-190,1574,-2445,-0.09,-0.08,0.89,-0.445984,-3.641753,-13.530521,126.009666,3691,3108,-7572,1023,-2994,-8401
460,23,1172,-376,-5884,212,1150,-2525,-0.1,-0.09,0.9,-0.42157,-4.518015,-15.116814,128.835175,3475,2372,-8793,617,-1858,-9548
480,24,1224,-3752,-5824,413,654,-2467,-0.11,-0.1,0.91,-0.395935,-5.143365,-16.191008,131.822433,3281,1465,-9632,129,-728,-10254
500,25,120,-5796,-7432,356,34,-2134,-0.12,-0.1,0.92,-0.370972,-5.742048,-16.649233,134.799927,3097,196,-10224,-601,570,-10651
520,26,468,-5436,-5424,197,-756,-1847,-0.11,-0.1,0.92,-0.34967,-6.450343,-16.385548,137.447037,2742,-715,-10767,-969,1696,-10960
540,27,2172,-10096,-2704,353,-1202,-1786,-0.1,-0.1,0.93,-0.331604,-7.165595,-15.182961,139.86438,2596,-1322,-10565,-1471,2187,-10636
560,28,3924,-11616,-796,786,-1466,-1524,-0.09,-0.1,0.94,-0.314331,-7.69073,-13.322451,142.263351,2722,-2562,-9899,-2653,2847,-9839
580,29,5796,-14468,2396,873,-1903,-1160,-0.07,-0.09,0.95,-0.299561,-7.683492,-11.029098,144.376389,3001,-3664,-9090,-3822,3257,-8935
600,30,7108,-16548,5600,652,-2311,-588,-0.05,-0.08,0.95,-0.289001,-7.592922,-8.15049,145.9953,3300,-4945,-7944,-5136,3749,-7615
620,31,8744,-19244,11244,668,-2597,-70,-0.02,-0.08,0.96,-0.284668,-7.686682,-4.798276,146.828537,3539,-6053,-6529,-6293,4115,-5937
640,32,9616,-18400,15312,706,-2557,682,0.02,-0.06,0.95,-0.289185,-7.817221,0.621835,146.561783,3772,-7489,-3527,-7546,4458,-2434
660,33,10288,-18208,17844,676,-2601,1021,0.04,-0.06,0.95,-0.293701,-7.853125,2.357512,146.039383,3786,-7633,-2649,-7651,4361,-1424
680,34,10680,-16808,23676,693,-2607,1500,0.08,-0.05,0.94,-0.314453,-8.109318,7.493719,143.355179,3719,-7651,369,-7346,3855,1917
700,35,10200,-14384,28872,750,-2303,1981,0.1,-0.04,0.94,-0.32373,-8.20541,9.070017,142.08754,3668,-7451,1610,-6963,3578,3201
720,36,9604,-9712,30208,685,-1821,2383,0.13,-0.03,0.92,-0.358215,-8.507773,12.690495,137.303406,3168,-5796,4843,-4786,2379,6204
740,37,8356,-5220,30596,579,-1437,2724,0.14,-0.02,0.92,-0.371277,-8.626665,13.525986,135.488556,2906,-5077,5551,-3927,1991,6756
760,38,6652,732,30048,479,-1123,2928,0.15,-0.01,0.9,-0.413574,-9.03302,15.124035,129.652756,2019,-1987,6650,-808,462,7168
780,39,5984,5152,31492,359,-848,2950,0.15,-0.01,0.89,-0.427979,-9.102415,15.427877,127.673515,1718,-737,6901,403,-72,7137
800,40,3156,13028,27932,173,-283,2901,0.16,-0,0.87,-0.469971,-9.155561,15.553714,121.993614,789,2865,7246,3927,-1225,6663
820,41,932,15780,23916,55,-96,2658,0.15,-0,0.86,-0.483154,-9.083103,15.318709,120.258987,412,4235,6848,5157,-1601,5985
840,42,-904,19388,23788,46,-64,2219,0.14,0,0.84,-0.516846,-8.485536,14.393155,115.886375,-1015,7726,5140,8411,-1909,3567
860,43,-2268,18716,18488,-59,193,1667,0.14,0.01,0.84,-0.525635,-8.147258,14.030851,114.774414,-1425,8474,4642,9135,-1802,2947
880,44,-2912,18772,14648,-192,72,1248,0.13,0.01,0.83,-0.545105,-7.222942,12.900517,112.379402,-2391,9573,1991,9962,-1416,218
900,45,-2752,17848,13684,-234,-74,803,0.12,0.01,0.83,-0.549622,-6.939609,12.669822,111.816429,-2602,9683,1243,10008,-1280,-508
920,46,-1684,14580,9712,-160,-148,270,0.12,0.02,0.82,-0.557129,-6.016479,12.265697,110.918327,-2774,9398,-750,9490,-1148,-2280
940,47,-420,13444,8096,-51,-305,74,0.12,0.02,0.82,-0.557922,-5.68747,12.269075,110.83329,-2700,8977,-1426,8976,-1149,-2829
960,48,996,11272,8500,137,-643,-195,0.11,0.03,0.82,-0.557068,-4.524121,12.86014,110.93972,-2165,7648,-2947,7368,-1444,-3934
980,49,1724,11540,9944,194,-786,-266,0.12,0.04,0.82,-0.555908,-4.066136,13.258685,111.065948,-1998,7200,-3110,6888,-1502,-3974
1000,50,2364,11520,9764,234,-880,-492,0.12,0.05,0.82,-0.55072,-2.544188,14.731224,111.638519,-1558,6498,-2960,6146,-1770,-3534
1020,51,3272,10880,9280,247,-996,-649,0.12,0.06,0.83,-0.548035,-1.977877,15.286373,111.949532,-1443,6297,-2983,5926,-1870,-3465
1040,52,5100,8956,11432,340,-1217,-872,0.13,0.08,0.83,-0.536926,-0.196458,17.319057,113.209572,-980,5434,-2879,4978,-2154,-3057
1060,53,5472,7688,11536,330,-1210,-944,0.13,0.09,0.83,-0.532349,0.444158,18.103447,113.718689,-782,5067,-2608,4593,-2185,-2684
1080,54,6140,6716,10772,262,-1461,-985,0.14,0.11,0.84,-0.517395,2.271193,20.495363,115.333397,-423,3955,-2457,3424,-2199,-2300
1100,55,7084,5668,13600,295,-1679,-1036,0.15,0.12,0.84,-0.512024,2.871102,21.440687,115.862961,-342,3640,-2316,3107,-2152,-2108
1120,56,7924,3720,16460,253,-1682,-1050,0.16,0.14,0.84,-0.494568,4.69278,24.504566,117.482834,-82,2449,-811,2078,-1413,-587
