timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,-3764,-3692,9648,967,-254,-231,0.21,0.02,-0.92,-0.326477,-10.143028,-21.834051,-139.641968,679,-26,-2603,559,155,-2626
20,1,-4052,-4676,11156,827,-377,-37,0.2,0.01,-0.92,-0.328308,-9.657028,-21.591705,-139.420822,873,-255,-2525,509,451,-2596
40,2,-3976,-524,11052,470,-501,159,0.2,0.01,-0.92,-0.329102,-8.812652,-21.085411,-139.384216,810,-242,-2357,444,408,-2430
60,3,-3112,-604,9292,515,-473,33,0.19,0,-0.93,-0.328613,-8.094697,-20.497339,-139.546799,812,202,-2350,133,57,-2490
80,4,-2556,-1768,9672,681,-726,-216,0.18,-0,-0.93,-0.329529,-7.374329,-19.893969,-139.524384,846,513,-2711,3,-214,-2878
100,5,-840,-1564,11144,708,-849,-189,0.17,-0,-0.93,-0.332886,-6.571157,-18.935833,-139.261902,1071,271,-2750,-58,110,-2961
120,6,368,-1700,8372,486,-742,-71,0.16,-0.01,-0.93,-0.335938,-5.824145,-17.765461,-139.085464,1529,85,-2607,-384,568,-2944
140,7,1992,-1944,5572,443,-951,68,0.15,-0.01,-0.93,-0.337524,-5.2899,-16.672766,-139.08107,1970,-18,-3280,-511,862,-3692
160,8,2076,-700,7716,422,-1305,292,0.14,-0.01,-0.93,-0.337463,-4.77502,-15.272438,-139.330688,2353,-230,-3981,-571,1224,-4428
180,9,3000,-64,7968,416,-1441,280,0.12,-0.01,-0.93,-0.335449,-4.178457,-13.482195,-139.858307,2519,-15,-4094,-946,1202,-4557
200,10,4112,20,5748,468,-1471,254,0.1,-0,-0.94,-0.333435,-3.54863,-11.501882,-140.370575,2690,143,-4153,-1321,1238,-4607
220,11,4932,-1004,4204,659,-1731,288,0.09,-0,-0.94,-0.331604,-2.872896,-9.409441,-140.820312,2895,157,-4753,-1561,1374,-5164
240,12,5164,828,6532,768,-2101,489,0.06,-0,-0.94,-0.329163,-2.008695,-6.950818,-141.32106,2989,2,-5269,-1705,1597,-5589
260,13,4992,4212,7996,607,-2399,627,0.04,-0,-0.95,-0.324585,-0.984859,-4.026063,-142.036545,2823,302,-5026,-2074,1344,-5216
280,14,5936,4624,8652,450,-2706,560,0.01,-0,-0.95,-0.318542,-0.066008,-0.767281,-142.845673,2485,1002,-4619,-2533,668,-4653
300,15,7608,6252,12916,506,-3070,483,-0.03,0,-0.95,-0.312927,0.71403,2.924251,-143.485855,2325,1593,-4074,-3010,182,-3930
320,16,7524,8540,17512,533,-3261,431,-0.06,0.01,-0.95,-0.307739,1.618273,7.076974,-143.911423,2256,2224,-2795,-3436,-347,-2432
340,17,6860,9796,22568,359,-3234,236,-0.1,0.01,-0.95,-0.30304,2.591341,11.351264,-144.100693,1867,3021,-921,-3398,-1325,-400
360,18,6864,11468,24620,270,-3040,-39,-0.14,0.01,-0.94,-0.300537,3.486453,15.371069,-143.879868,1316,3677,1182,-2832,-2394,1702
380,19,6608,14780,29160,182,-2926,-351,-0.17,0.01,-0.94,-0.301025,4.476794,19.034512,-143.187271,806,4436,3015,-2213,-3570,3432
400,20,5808,15084,32767,138,-2680,-742,-0.2,0.02,-0.93,-0.305298,5.66219,22.299082,-141.955414,251,5326,5278,-1347,-4987,5441
420,21,6140,15324,32767,11,-2030,-1143,-0.22,0.02,-0.92,-0.313782,7.052515,24.901712,-140.211594,-295,5899,7084,-403,-6097,6910
440,22,7304,15852,32767,-220,-1348,-1542,-0.24,0.01,-0.91,-0.326721,8.538167,26.547577,-138.048203,-504,6115,8097,128,-6567,7750
460,23,9684,11892,32767,-444,-683,-1969,-0.25,0.01,-0.91,-0.344421,9.944797,27.256531,-135.454193,-248,6104,8648,163,-6450,8396
480,24,10888,8660,32767,-463,388,-2197,-0.25,0.01,-0.9,-0.365967,11.066653,27.072178,-132.58252,437,5122,8920,323,-5218,8870
500,25,11860,6548,32767,-360,1474,-2433,-0.24,0,-0.89,-0.388977,11.910486,25.585724,-129.95784,1233,3965,8989,404,-3630,9204
520,26,12724,3104,32767,-354,2178,-2562,-0.22,-0.01,-0.88,-0.413269,12.598546,22.906145,-127.539642,2135,2712,8929,445,-1741,9404
540,27,12952,2152,32767,-405,2751,-2479,-0.2,-0.02,-0.88,-0.4375,12.888808,19.521023,-125.270271,3064,1283,8807,630,343,9386
560,28,13140,1504,32632,-516,3348,-2385,-0.17,-0.03,-0.87,-0.460083,12.757356,15.602423,-123.243675,3914,354,8661,526,2088,9264
580,29,12212,2224,25684,-562,3805,-2322,-0.14,-0.04,-0.86,-0.481018,12.267745,11.192116,-121.364296,4715,-226,8141,103,3653,8672
600,30,11004,1308,18716,-452,3970,-2352,-0.1,-0.06,-0.86,-0.500549,11.661353,6.449424,-119.483475,5263,-399,6276,-738,4785,6619
620,31,10100,-296,16108,-287,3755,-2330,-0.06,-0.08,-0.85,-0.519043,11.133498,1.691526,-117.460594,5584,-658,3814,-1251,5507,3778
640,32,9488,-2580,12236,-455,3570,-2211,-0.03,-0.09,-0.84,-0.536377,10.553597,-2.762908,-115.307228,5835,-1118,1927,-1186,5968,1406
660,33,8656,-5232,8988,-565,3332,-1970,0,-0.1,-0.83,-0.552063,9.575484,-6.906047,-113.117546,6146,-1805,65,-742,6288,-973
680,34,7308,-5312,4580,-552,3090,-1663,0.04,-0.11,-0.82,-0.565247,8.276183,-10.697571,-111.046928,6270,-2603,-1698,62,6232,-3183
700,35,5600,-6180,920,-384,2693,-1423,0.07,-0.12,-0.81,-0.575684,6.929707,-14.18405,-109.178665,6167,-3009,-3554,704,5595,-5284
720,36,3960,-6100,-352,-186,2171,-1218,0.09,-0.13,-0.8,-0.58429,5.775666,-17.244164,-107.467972,5864,-3273,-5322,1346,4589,-7110
740,37,2844,-7808,-2496,-123,1775,-1013,0.11,-0.14,-0.79,-0.591736,4.781141,-19.758261,-105.905952,5499,-3504,-6518,1981,3614,-8247
760,38,1784,-7828,-3856,129,1328,-755,0.13,-0.14,-0.78,-0.597961,3.827821,-21.835419,-104.517288,5152,-3864,-7609,2720,2697,-9204
780,39,960,-6896,-3492,326,898,-493,0.14,-0.15,-0.77,-0.602783,3.235555,-23.41868,-103.429428,4782,-3975,-8376,3135,1827,-9781
800,40,504,-5576,-5800,422,531,-244,0.15,-0.15,-0.77,-0.606323,3.00517,-24.522701,-102.657799,4423,-3869,-8807,3232,1099,-10022
820,41,84,-3940,-6520,462,-62,-60,0.16,-0.16,-0.76,-0.608459,3.066078,-25.20516,-102.218056,4131,-3544,-9533,3038,322,-10544
840,42,520,-3864,-5164,417,-679,88,0.15,-0.16,-0.76,-0.609985,3.340229,-25.174747,-102.065002,3881,-3059,-9981,2590,-209,-10830
860,43,548,-2348,-3608,536,-1157,250,0.15,-0.16,-0.76,-0.611206,3.677768,-24.361809,-102.14122,3755,-2706,-9943,2178,-247,-10747
880,44,1012,-476,-2020,642,-1530,328,0.13,-0.15,-0.76,-0.612,4.303696,-22.910206,-102.444611,3544,-2202,-9592,1557,-163,-10342
900,45,1368,2144,-2404,653,-1898,364,0.12,-0.15,-0.77,-0.612671,5.15644,-20.964792,-102.854095,3342,-1592,-9208,786,-24,-9893
920,46,2856,2500,108,576,-2381,250,0.09,-0.14,-0.77,-0.613403,6.107011,-18.503742,-103.285332,3188,-732,-9026,-261,89,-9597
940,47,4740,2176,1860,621,-2722,209,0.07,-0.13,-0.77,-0.615234,6.958161,-15.385431,-103.530754,3230,-377,-8453,-842,692,-8991
960,48,6740,1704,2804,623,-3052,182,0.04,-0.12,-0.78,-0.617432,7.769969,-11.736657,-103.611435,3428,-254,-7806,-1206,1531,-8304
980,49,8636,2708,6112,655,-3577,245,0.01,-0.1,-0.78,-0.619507,8.571404,-7.55651,-103.525429,3667,-315,-7229,-1375,2434,-7615
1000,50,9184,5336,13048,404,-4004,356,-0.03,-0.08,-0.78,-0.620422,9.389624,-2.613284,-103.327164,3780,-82,-5926,-1663,3214,-6026
1020,51,9360,7232,15644,106,-3982,292,-0.07,-0.05,-0.78,-0.619751,9.985966,2.780858,-102.987801,3569,560,-3746,-1999,3380,-3415
1040,52,10216,7024,17096,-33,-4022,53,-0.11,-0.03,-0.78,-0.618774,10.356529,8.06264,-102.363785,3199,1265,-2037,-2297,2998,-1310
1060,53,11300,9028,25308,75,-4243,-152,-0.17,0.02,-0.77,-0.618713,10.976744,15.954475,-100.601959,2698,1811,568,-2076,1994,1609
1080,54,11876,10240,31952,-36,-4150,-322,-0.19,0.03,-0.76,-0.618774,11.311942,18.581688,-99.825363,2553,2178,2009,-2003,1326,3085
1100,55,11232,10452,32767,-75,-3655,-557,-0.22,0.05,-0.75,-0.620117,12.015939,23.370325,-98.016106,2245,2748,5205,-1559,-418,6089
1120,56,10452,13620,32767,8,-3028,-831,-0.26,0.08,-0.73,-0.625305,13.547053,28.830109,-94.957771,1507,3693,7889,-1469,-2948,8204
1140,57,9872,12008,32767,-104,-2029,-1229,-0.27,0.09,-0.72,-0.628601,14.238768,30.070095,-93.81369,1295,3944,8396,-1498,-3563,8531
1160,58,9652,8332,32767,-188,-697,-1587,-0.29,0.09,-0.7,-0.644226,16.151649,31.512703,-90.374489,799,3514,9232,-773,-4470,8811
1180,59,10004,6012,32767,-272,-119,-1666,-0.29,0.09,-0.7,-0.650879,16.62907,31.326632,-89.300095,753,3046,9352,-303,-4465,8791
1200,60,10948,4176,32767,-320,647,-1659,-0.28,0.08,-0.68,-0.67218,17.366293,29.496769,-86.504097,1129,1395,9448,1238,-3754,8767
1220,61,11688,4228,32767,-387,1539,-1680,-0.27,0.08,-0.68,-0.679443,17.405853,28.457911,-85.733604,1378,1026,9414,1568,-3354,8824
1240,62,12628,3496,32767,-443,2259,-1763,-0.25,0.06,-0.67,-0.702087,17.110035,24.018381,-83.698181,2428,220,9192,2316,-1665,9072
1260,63,13372,2532,32767,-495,2836,-1848,-0.23,0.05,-0.66,-0.709717,16.894886,22.214594,-83.071877,2840,35,9097,2505,-990,9142
1280,64,13152,2508,28584,-560,3302,-1833,-0.19,0.02,-0.65,-0.732117,15.946791,16.118996,-81.266922,4079,-559,8219,3034,1316,8577
1300,65,12568,1568,23488,-699,3609,-1828,-0.18,0,-0.65,-0.739075,15.556816,13.94049,-80.697952,4422,-652,7481,3020,2136,7890
1320,66,11948,2316,18892,-783,3674,-1813,-0.13,-0.03,-0.64,-0.758118,14.158655,7.282527,-79.022041,5191,-772,4492,2680,4193,4791
1340,67,11600,344,15420,-933,3598,-1826,-0.12,-0.04,-0.63,-0.763977,13.634585,5.1142,-78.424965,5410,-832,3475,2600,4685,3651
1360,68,11164,-1112,13272,-1117,3487,-1733,-0.07,-0.07,-0.62,-0.779785,11.567705,-1.053028,-76.616379,6018,-1320,875,2797,5538,481
