seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-8244,3408,592,1083,-464,143,0.06,-0.27,0.4,-0.874329,-20.764412,-25.603197,50.974968,-479,3614,-5782,-904,3461,-5823
1,-6556,5408,204,1431,-208,118,0.04,-0.27,0.4,-0.876648,-18.839838,-25.638048,51.216503,-294,3942,-6318,-689,3737,-6411
2,-4424,7752,-184,1717,9,214,0.03,-0.26,0.4,-0.878418,-16.529169,-25.892084,51.623291,190,4414,-6727,-88,3945,-7014
3,-5164,9472,-1228,2053,247,453,0.0,-0.25,0.4,-0.880188,-13.675673,-26.387245,51.991199,798,4946,-7101,709,4185,-7583
4,-5544,11500,-224,2609,385,560,-0.02,-0.25,0.4,-0.881653,-10.092422,-27.209925,52.27766,887,5357,-7442,1230,4815,-7756
5,-2304,13312,3744,2951,700,716,-0.06,-0.24,0.4,-0.882202,-5.638492,-28.157511,52.537689,1445,5772,-6938,2453,4968,-7269
6,-4828,11852,4936,3100,982,1160,-0.1,-0.23,0.4,-0.882019,-0.595489,-29.267857,52.41518,2014,5790,-5970,3517,4674,-6245
7,-10792,11308,6220,3638,892,1477,-0.14,-0.22,0.39,-0.881104,5.067959,-30.510708,51.755138,1434,5090,-5234,3195,4668,-4832
8,-15772,12920,12020,4483,397,1486,-0.19,-0.21,0.38,-0.877991,11.729476,-31.447987,50.807949,-265,4414,-3937,2272,4919,-2384
9,-15284,14968,21988,5101,-136,1315,-0.24,-0.19,0.38,-0.871521,19.217392,-31.425314,49.730186,-1757,4066,-1324,1744,4164,991
10,-16672,14340,31268,4880,-121,1047,-0.3,-0.17,0.38,-0.862122,26.517088,-30.631674,48.514118,-2751,3668,2587,1090,1860,4803
11,-18384,14544,32767,4271,-83,649,-0.34,-0.14,0.38,-0.850708,32.566498,-29.838675,47.503788,-3653,3157,6284,-210,-757,7885
12,-18912,14612,32767,3673,-242,281,-0.37,-0.12,0.38,-0.838501,37.309498,-29.276056,46.869976,-4441,2800,8480,-1618,-2435,9535
13,-19276,14736,32767,3187,-557,101,-0.4,-0.11,0.38,-0.826477,40.968636,-28.77923,46.575901,-4968,2546,9763,-2817,-3481,10316
14,-21460,14012,32767,2548,-982,-30,-0.42,-0.09,0.39,-0.815796,43.612225,-28.131794,46.536163,-5572,2289,10505,-4032,-3913,10727
15,-23116,13184,32767,1695,-1176,-432,-0.43,-0.07,0.4,-0.807007,44.997421,-27.525612,47.022171,-6470,1913,10896,-5368,-3731,11022
16,-22124,13440,32767,481,-940,-1033,-0.43,-0.07,0.42,-0.80011,44.910858,-27.419592,48.379078,-6977,1712,11043,-6014,-3366,11229
17,-21348,13824,32767,-905,-544,-1600,-0.42,-0.07,0.43,-0.796082,43.092464,-28.036463,50.645184,-6963,1850,11000,-5666,-3007,11479
18,-20556,14552,32767,-1964,-206,-2139,-0.4,-0.08,0.45,-0.794373,39.674492,-29.268867,53.619743,-6714,2332,10827,-4534,-2595,11851
19,-18404,15204,32767,-2743,-154,-2562,-0.37,-0.1,0.47,-0.793152,34.975952,-30.835371,57.086933,-6115,3098,10589,-2700,-2278,12109
20,-15120,15576,28164,-3215,-276,-2782,-0.34,-0.13,0.49,-0.791748,29.301504,-32.172703,60.743652,-5117,4025,10089,-368,-1966,11839
21,-13876,14900,22712,-3375,-183,-2876,-0.31,-0.15,0.51,-0.789062,23.288889,-33.189323,64.292969,-3944,4833,8244,1987,-1009,10095
22,-11928,14768,20540,-3318,-250,-3006,-0.27,-0.17,0.53,-0.783997,17.2883,-34.0387,67.734894,-3039,5422,6431,3737,-126,8124
23,-9620,14764,17060,-3274,-279,-3066,-0.24,-0.19,0.55,-0.776917,11.346354,-34.445919,71.110352,-1974,6115,4724,5316,448,5928
24,-7200,13924,14732,-3169,-224,-3041,-0.21,-0.21,0.57,-0.768066,5.599058,-34.520935,74.38031,-909,6682,3113,6448,764,3604
25,-5004,12800,12452,-3047,-191,-2898,-0.18,-0.23,0.58,-0.758057,0.121641,-34.294884,77.495689,169,7037,1786,7092,708,1392
26,-4080,10564,6968,-2806,-155,-2663,-0.15,-0.25,0.6,-0.74762,-4.985349,-33.812546,80.375847,1087,7114,171,7091,760,-977
27,-2368,9008,5428,-2263,-116,-2449,-0.13,-0.27,0.61,-0.736511,-9.521985,-33.256283,83.070915,1833,6902,-1647,6472,899,-3318
28,-496,7748,5828,-1816,-101,-2133,-0.11,-0.28,0.62,-0.725281,-13.221618,-32.537251,85.546532,2684,6656,-2655,5854,466,-4905
29,360,6288,4948,-1484,-85,-1762,-0.09,-0.29,0.63,-0.715332,-16.189611,-31.71269,87.64399,3333,6286,-3253,5137,-35,-5900
30,-1000,4416,4924,-1194,42,-1384,-0.07,-0.3,0.64,-0.706787,-18.542927,-30.981417,89.376564,3703,5847,-3645,4389,-386,-6463
31,-2012,3024,4976,-907,96,-1166,-0.06,-0.3,0.64,-0.699402,-20.415709,-30.500673,90.813774,3505,5256,-3857,3576,-310,-6473
32,-2288,2720,5256,-639,176,-1026,-0.06,-0.31,0.65,-0.692505,-21.882113,-30.150053,92.104507,3256,4794,-3946,2972,-197,-6346
33,-1656,2664,4592,-441,264,-864,-0.05,-0.31,0.65,-0.686096,-22.972988,-29.935101,93.259987,3151,4545,-3928,2643,-202,-6243
