timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,-6592,-396,11580,161,280,-507,0.2,-0.14,-0.81,-0.538818,0.402425,-28.3356,-110.078354,797,162,-1401,-172,-31,-1610
20,1,-6828,-544,11352,142,386,-491,0.2,-0.14,-0.8,-0.540833,0.339768,-28.524639,-109.746147,781,144,-1347,-157,-17,-1555
40,2,-5392,-1620,6288,-95,336,-595,0.21,-0.14,-0.8,-0.546387,-0.037283,-29.357481,-108.687996,814,158,-2133,-24,-370,-2258
60,3,-4576,-5204,6428,-57,92,-534,0.21,-0.14,-0.8,-0.548584,-0.329431,-29.57781,-108.278908,996,-177,-2620,330,-330,-2769
80,4,-3560,-4344,4344,-23,54,-229,0.21,-0.14,-0.79,-0.552917,-1.036627,-29.713034,-107.541412,1416,-1239,-3219,1340,109,-3477
100,5,-2892,-4892,1692,43,-124,-176,0.22,-0.14,-0.79,-0.555115,-1.523821,-29.797157,-107.133339,1835,-1562,-4179,1731,121,-4501
120,6,-916,-6496,1776,62,-503,-62,0.22,-0.13,-0.79,-0.55835,-2.035742,-29.439201,-106.734619,2499,-2119,-5495,2345,291,-5945
140,7,-936,-8996,1168,-40,-562,70,0.22,-0.13,-0.79,-0.559265,-2.221247,-29.121666,-106.685577,2759,-2370,-5709,2554,531,-6246
160,8,-80,-7700,-780,107,-659,383,0.21,-0.12,-0.79,-0.559753,-2.699931,-28.424086,-106.76358,3051,-3195,-6210,3362,933,-6775
180,9,304,-7632,-1528,256,-895,509,0.21,-0.12,-0.79,-0.558289,-2.784845,-27.614769,-107.208412,3349,-3265,-6921,3452,1023,-7537
200,10,1524,-8516,728,376,-1173,612,0.2,-0.11,-0.8,-0.556152,-2.562774,-26.50968,-107.887497,3589,-3358,-7451,3487,1201,-8129
220,11,2616,-8348,2508,569,-1302,832,0.19,-0.11,-0.8,-0.553772,-2.174397,-24.994516,-108.735703,3843,-3722,-7238,3574,1848,-8051
240,12,3736,-6668,2688,650,-1468,1049,0.17,-0.1,-0.81,-0.549866,-1.495214,-23.241203,-109.868088,4050,-3853,-6859,3368,2452,-7806
260,13,4916,-5012,6304,581,-1797,1263,0.16,-0.1,-0.82,-0.544006,-0.587612,-21.179092,-111.323074,4286,-3615,-6528,2760,2943,-7601
280,14,4900,-1560,10572,484,-1961,1386,0.13,-0.09,-0.83,-0.536011,0.369685,-18.603239,-113.112282,4444,-2973,-5533,1674,3432,-6679
300,15,4772,-3212,13820,556,-1934,1385,0.11,-0.08,-0.84,-0.526672,1.347903,-15.759311,-115.024513,4341,-2219,-4067,570,3680,-5142
320,16,4156,-728,14968,643,-1934,1628,0.09,-0.08,-0.85,-0.516479,2.263091,-12.911463,-116.920624,4034,-2096,-2706,227,3853,-3617
340,17,2724,5456,19668,521,-2130,1851,0.06,-0.07,-0.86,-0.50354,3.321367,-10.022843,-119.061424,3521,-1326,-1598,-495,3370,-2259
360,18,908,10368,25268,376,-2182,1830,0.02,-0.06,-0.87,-0.480164,4.941071,-5.403506,-122.557594,2179,1375,1137,-2306,1236,1040
380,19,-1580,20032,32767,478,-2091,1734,0.01,-0.06,-0.88,-0.472351,5.508136,-3.892855,-123.650818,1598,2442,2421,-2813,255,2529
400,20,-3984,26608,32767,95,-1348,1001,-0.03,-0.06,-0.89,-0.451782,7.696109,-0.147723,-126.401314,-380,7376,5910,-5048,-4139,6846
420,21,-5444,25908,32767,-155,-762,533,-0.04,-0.06,-0.89,-0.447693,8.31267,0.577512,-126.931305,-947,8551,6547,-5420,-5305,7705
440,22,-5628,25316,32767,-252,-692,35,-0.05,-0.07,-0.89,-0.443542,9.637405,1.490315,-127.481339,-2271,10297,7622,-5576,-7348,9177
460,23,-4392,25388,32767,-375,-550,-309,-0.05,-0.07,-0.89,-0.444458,9.991525,1.725221,-127.365623,-2461,10406,7814,-5469,-7531,9423
480,24,-3328,24100,32767,-565,-33,-704,-0.06,-0.08,-0.89,-0.451721,10.697916,1.75988,-126.444618,-2334,10632,8136,-5696,-7375,9892
500,25,-1772,20104,32767,-535,439,-1129,-0.05,-0.08,-0.89,-0.455933,10.814765,1.449128,-125.913582,-2122,10438,8190,-5736,-6980,9947
520,26,-832,16952,30920,-325,852,-1418,-0.04,-0.09,-0.88,-0.472717,11.090579,-0.228869,-123.792572,-1138,8773,8104,-5288,-4791,9646
540,27,860,12708,27104,-189,1162,-1639,-0.04,-0.09,-0.87,-0.479248,11.197736,-1.014007,-122.961243,-737,8064,7696,-5100,-3935,9128
560,28,1788,9320,23248,-138,1380,-1732,-0.02,-0.1,-0.86,-0.500183,11.347153,-3.682635,-120.234688,581,5566,5857,-4238,-1269,6787
580,29,2268,5704,18200,-158,1450,-1800,-0.02,-0.11,-0.86,-0.507324,11.303581,-4.647984,-119.280403,990,4727,5050,-3897,-495,5779
600,30,2868,2196,17820,-40,1262,-1834,0,-0.11,-0.84,-0.529236,10.921071,-7.412237,-116.270668,1923,2210,2536,-2526,1296,2636
620,31,3344,-1312,16080,43,1351,-1750,0.01,-0.12,-0.84,-0.536621,10.736003,-8.230912,-115.233826,2210,1293,2115,-1871,1901,1978
640,32,3024,-4652,10432,-84,1334,-1566,0.03,-0.12,-0.82,-0.556641,9.941849,-10.800548,-112.329605,2902,-1047,295,-107,3066,-435
660,33,2824,-6616,8856,-162,1114,-1427,0.04,-0.13,-0.82,-0.562683,9.544274,-11.613117,-111.417511,3038,-1737,-541,462,3212,-1416
680,34,2588,-9292,7460,-118,841,-1135,0.06,-0.12,-0.8,-0.578735,8.064195,-13.483894,-108.935143,3287,-3703,-2462,2295,3470,-3642
700,35,2608,-10528,6368,-48,737,-964,0.06,-0.12,-0.8,-0.583191,7.563427,-13.962062,-108.228073,3332,-4190,-2953,2793,3479,-4180
720,36,2264,-11128,3848,34,611,-615,0.07,-0.12,-0.79,-0.593994,6.197337,-15.11623,-106.471199,3428,-5428,-4238,4117,3417,-5527
740,37,1640,-12508,2232,24,506,-449,0.08,-0.12,-0.79,-0.596497,5.803349,-15.428486,-106.04509,3407,-5654,-4737,4391,3275,-6000
760,38,468,-12232,-1996,233,223,-106,0.09,-0.12,-0.79,-0.601196,4.718761,-16.179314,-105.174782,3107,-6318,-6545,5262,2553,-7630
780,39,468,-12348,-1576,382,-102,58,0.09,-0.12,-0.78,-0.601929,4.522556,-16.289349,-105.035965,2961,-6408,-7140,5418,2252,-8148
800,40,1220,-11528,-1616,501,-493,466,0.09,-0.11,-0.79,-0.602051,4.310151,-15.872818,-105.054947,2696,-6665,-8024,5746,1890,-8916
820,41,1704,-9176,-3144,531,-722,701,0.08,-0.11,-0.79,-0.600769,4.364854,-15.513649,-105.291,2691,-6521,-8245,5579,1859,-9120
840,42,2812,-6132,-1108,697,-1320,945,0.07,-0.11,-0.79,-0.594055,4.997432,-13.673805,-106.524719,2761,-5502,-8907,4361,1829,-9741
860,43,3812,-5456,-316,811,-1522,1006,0.06,-0.1,-0.8,-0.591187,5.367073,-12.733762,-107.061989,2812,-5065,-8793,3812,1945,-9622
880,44,5940,-5560,-328,879,-1900,1118,0.03,-0.09,-0.81,-0.581421,6.764606,-9.261193,-108.812378,3110,-4144,-8499,2411,2559,-9312
900,45,7516,-3740,1468,870,-2208,1322,0.02,-0.09,-0.81,-0.577698,7.241541,-7.839447,-109.42939,3267,-4084,-8395,2140,2916,-9207
920,46,8904,-472,3644,770,-2626,1578,-0.02,-0.08,-0.82,-0.562561,8.63055,-2.620067,-111.637337,3623,-3261,-7503,758,3800,-8065
940,47,9424,400,5236,703,-2873,1627,-0.04,-0.07,-0.83,-0.556335,9.071876,-0.622575,-112.438492,3662,-2825,-7132,188,3944,-7528
960,48,10856,3884,9360,741,-3225,1671,-0.09,-0.05,-0.84,-0.53595,10.274651,6.062171,-114.656143,3574,-1542,-5531,-1223,4009,-5308
980,49,10992,8460,11560,686,-3459,1715,-0.11,-0.04,-0.84,-0.528564,10.686517,8.459766,-115.312607,3510,-961,-4868,-1730,3829,-4391
1000,50,11952,11928,24436,368,-3867,1414,-0.17,-0.01,-0.84,-0.505981,11.93305,16.208912,-116.709984,3007,1796,-1513,-3278,1939,-225
1020,51,11704,12396,30476,260,-3651,1204,-0.19,-0,-0.84,-0.499573,12.226775,18.796354,-116.838501,2834,2452,348,-3157,1102,1726
1040,52,10936,15092,32767,183,-2861,900,-0.24,0.02,-0.84,-0.483887,12.958455,25.28933,-116.683975,2158,4082,5574,-2078,-1924,6662
1060,53,10340,17816,32767,145,-2281,711,-0.26,0.02,-0.84,-0.479919,13.209024,26.912941,-116.549583,1871,4582,6633,-1825,-2886,7539
1080,54,10304,14584,32767,-129,-1645,199,-0.28,0.03,-0.83,-0.473572,14.137414,30.167429,-115.867577,1178,5947,8468,-1555,-5098,8948
1100,55,10780,10600,32767,-366,-1440,76,-0.29,0.04,-0.83,-0.473572,14.328364,30.889492,-115.492813,1060,5737,8801,-1134,-5269,9081
1120,56,11420,7728,32767,-465,-1059,135,-0.3,0.05,-0.83,-0.47522,13.998195,32.611309,-114.457069,1013,3960,9382,596,-4795,9021
1140,57,11476,6412,31260,-426,-646,132,-0.3,0.05,-0.83,-0.475586,13.743354,32.990002,-114.254692,1044,3506,9484,978,-4634,8994
1160,58,10200,6356,26680,-172,-256,149,-0.3,0.06,-0.82,-0.476257,12.98825,33.313435,-114.120331,979,2389,8469,1382,-3787,7883
1180,59,9260,6988,25208,-84,-105,140,-0.3,0.06,-0.83,-0.476135,12.861855,33.298485,-114.16835,864,2225,7957,1322,-3593,7372
1200,60,8372,5908,21116,-66,151,93,-0.29,0.06,-0.83,-0.476135,12.667254,32.878929,-114.408203,370,1940,6234,959,-3120,5666
1220,61,8040,5096,19196,-85,209,90,-0.29,0.06,-0.83,-0.476257,12.608811,32.653698,-114.512093,219,1790,5541,829,-2875,5000
1240,62,8176,4360,18084,-87,220,81,-0.29,0.06,-0.83,-0.47644,12.364457,32.007641,-114.838104,-89,1300,3678,523,-2117,3235
1260,63,8452,3804,17292,-92,271,79,-0.29,0.06,-0.83,-0.47644,12.272212,31.80378,-114.951729,-96,1133,3269,483,-1875,2869
1280,64,9296,1960,17024,-255,301,153,-0.28,0.05,-0.83,-0.476379,11.859626,31.188873,-115.31324,90,542,2312,475,-1051,2077
1300,65,8972,2260,15928,-476,323,299,-0.28,0.06,-0.83,-0.476135,11.546456,31.004681,-115.47831,188,304,2089,530,-766,1903
1320,66,8872,3356,16032,-722,151,441,-0.27,0.06,-0.84,-0.474121,9.974194,30.591686,-116.163116,227,236,1362,242,-446,1305
1340,67,9156,3508,16156,-748,124,381,-0.27,0.07,-0.84,-0.473328,9.373422,30.538448,-116.375519,255,366,1273,78,-467,1262
