seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-652,-6908,12052,65,-271,15,-0.27,-0.08,0.3,0.911377,-33.083858,-1.004381,-31.556038,-219,1114,-925,-447,205,-1379
1,-16,-6728,12556,63,-235,-20,-0.27,-0.08,0.3,0.911682,-33.002377,-0.831656,-31.510334,-216,1083,-838,-454,229,-1289
2,624,-6640,12112,49,-171,12,-0.27,-0.08,0.3,0.912476,-32.847679,-0.485397,-31.371418,-65,1071,-800,-333,333,-1252
3,628,-6760,11496,62,-160,62,-0.27,-0.08,0.29,0.913147,-32.700645,-0.193275,-31.252556,100,1081,-806,-199,440,-1262
4,1148,-6824,9752,150,-140,78,-0.27,-0.09,0.29,0.913696,-32.559517,0.061181,-31.184052,202,1040,-1058,-13,368,-1451
5,2428,-6236,10580,332,-178,70,-0.26,-0.09,0.29,0.914429,-32.337948,0.304167,-31.140066,346,1013,-1491,254,254,-1799
6,5416,-4572,11188,363,-125,143,-0.26,-0.09,0.29,0.915649,-31.882021,0.658931,-31.154173,819,1170,-1581,590,619,-1950
7,6892,-3824,9964,311,2,329,-0.25,-0.09,0.29,0.916992,-31.33198,1.018263,-31.227392,1662,1509,-1548,1095,1385,-2076
8,8804,-2120,8412,483,-50,583,-0.25,-0.09,0.29,0.917786,-30.808668,1.247249,-31.478012,2494,1890,-1910,1685,2019,-2553
9,10824,-160,10112,658,23,847,-0.24,-0.09,0.3,0.918274,-30.038971,1.463791,-32.092369,3307,2449,-2312,2152,2787,-3141
10,12728,1596,11688,629,218,1212,-0.23,-0.09,0.31,0.91864,-28.97897,1.518963,-33.061741,4270,3123,-2141,2448,3983,-3271
11,12020,2476,11252,557,409,1742,-0.22,-0.09,0.32,0.917908,-27.855177,1.274576,-34.451435,5170,3783,-1870,2591,5185,-3304
12,8424,2348,9108,748,431,2354,-0.21,-0.08,0.34,0.913086,-26.185682,0.045603,-37.697376,5320,4328,-2223,2138,5673,-3900
13,7068,2836,10448,946,448,2628,-0.21,-0.07,0.35,0.910522,-25.523188,-0.558179,-39.103806,5080,4377,-2402,1808,5533,-4102
14,2816,2716,12020,1048,446,2992,-0.19,-0.06,0.39,0.90033,-22.994106,-2.773927,-44.090076,3857,4352,-2082,269,4862,-3798
15,-1256,2332,12372,1106,380,3311,-0.19,-0.05,0.4,0.895752,-22.039904,-3.618975,-45.985558,3301,4277,-1977,-291,4445,-3638
16,-6948,1812,13316,1239,270,3540,-0.18,-0.03,0.43,0.884583,-20.0023,-5.42066,-50.07917,1801,4002,-1818,-1489,3144,-3233
17,-12948,224,16176,1338,147,3586,-0.17,-0.01,0.46,0.870972,-17.681839,-7.326173,-54.472229,-278,3484,-1371,-2704,1201,-2309
18,-18696,-2328,18176,1348,-16,3422,-0.15,0.0,0.49,0.855469,-15.173306,-9.23288,-58.909649,-2639,2619,-518,-3493,-1152,-746
19,-21740,-4184,18156,1424,-328,2979,-0.14,0.02,0.52,0.839417,-12.662433,-10.918245,-63.071934,-5045,1416,255,-3553,-3753,895
20,-24952,-5168,21756,1397,-286,2361,-0.13,0.04,0.55,0.824829,-10.218689,-12.161382,-66.629448,-6950,237,794,-3027,-5918,2186
21,-26320,-5256,24124,1183,-388,1685,-0.12,0.06,0.57,0.813049,-8.013378,-13.270539,-69.359695,-8592,-725,1920,-2439,-7529,3920
22,-28668,-6028,24488,916,-514,1012,-0.12,0.07,0.58,0.804749,-6.270003,-14.087091,-71.224602,-9814,-1363,2923,-1935,-8620,5350
23,-28712,-6100,24052,592,-527,163,-0.11,0.08,0.58,0.800354,-5.10997,-14.725761,-72.19957,-10916,-1899,3567,-1545,-9614,6373
24,-26192,-5484,20996,270,-514,-709,-0.11,0.08,0.58,0.800903,-4.671334,-15.272631,-72.105202,-11379,-2142,3752,-1434,-10009,6772
25,-23184,-3904,18724,152,-510,-1460,-0.11,0.09,0.57,0.806519,-4.859056,-15.63442,-70.955696,-11000,-2035,3141,-1630,-9725,6144
26,-19692,-1392,18452,14,-398,-2090,-0.12,0.09,0.56,0.816406,-5.37636,-15.821262,-68.915367,-10122,-1515,2422,-2192,-8865,5215
27,-16480,1060,15840,-131,-296,-2620,-0.12,0.09,0.53,0.836487,-6.586535,-15.837694,-64.615082,-8193,-79,1445,-3414,-6664,3625
28,-14464,1984,15060,-138,-245,-2890,-0.12,0.09,0.51,0.843933,-7.051717,-15.792029,-62.95483,-7573,404,1071,-3781,-5927,3035
29,-10540,3008,13556,-78,-236,-3200,-0.13,0.08,0.47,0.868103,-8.48284,-15.361524,-57.327976,-5526,1669,35,-4385,-3534,1259
30,-6824,3968,12720,-17,-115,-3379,-0.13,0.08,0.46,0.876465,-8.927352,-15.101196,-55.285015,-4711,2040,-280,-4365,-2634,654
31,-3740,4536,12328,20,65,-3434,-0.13,0.08,0.42,0.893005,-9.708762,-14.519258,-51.055229,-3077,2710,-815,-4065,-862,-448
32,-416,4496,11512,79,440,-3463,-0.13,0.08,0.37,0.915955,-10.709844,-13.732158,-44.573708,-850,3393,-1473,-3049,1344,-1816
33,2248,4972,12308,163,626,-3434,-0.13,0.08,0.35,0.922974,-10.992275,-13.564356,-42.388222,-118,3534,-1612,-2547,1979,-2165
34,7396,6652,12708,344,695,-3162,-0.13,0.08,0.3,0.941895,-11.497334,-13.076178,-35.956081,2309,4082,-1595,-641,4009,-2837
35,10680,7788,13624,494,647,-2848,-0.13,0.08,0.28,0.947388,-11.484743,-12.842446,-33.931667,3207,4334,-1549,118,4716,-3033
36,15120,8680,14644,576,727,-2300,-0.11,0.08,0.24,0.96106,-10.764897,-11.931947,-28.604746,6162,5061,-1158,2859,6764,-3311
37,16624,8712,15736,425,1175,-1689,-0.11,0.08,0.23,0.964478,-10.408563,-11.733581,-27.162737,7057,5224,-954,3774,7280,-3277
