seq,ax,ay,az,gx,gy,gz
0,2492,-1772,14680,89,110,68
1,2568,-1948,14680,170,96,74
2,2724,-2024,14888,283,139,53
3,2908,-1620,15496,320,121,85
4,2772,-1316,15384,246,82,164
5,3132,-1248,14860,224,88,177
6,3364,-924,14660,276,91,229
7,3352,-824,14468,315,124,274
8,3156,-556,14316,363,240,287
9,2940,-832,14140,402,309,275
10,3268,-468,14080,438,332,261
11,3304,-356,14012,443,295,316
12,3672,-28,13312,421,228,386
13,2908,-252,13252,491,222,481
14,1624,-828,13604,565,197,536
15,1608,-704,13956,626,109,541
16,1524,-144,14596,724,-1,550
17,1268,388,15964,809,-65,556
18,216,868,17528,837,-72,596
19,-252,1668,18412,779,-41,560
20,-604,2060,19408,692,-70,500
21,-1268,2348,20020,560,-105,460
22,-2064,2548,19960,402,-101,434
23,-3360,2860,19772,312,-106,362
24,-3816,3116,20100,283,-106,277
25,-4372,3460,20352,183,-111,164
26,-4940,3528,19880,69,-145,56
27,-5220,3372,19756,20,-142,-90
28,-4816,3564,19544,2,-105,-272
29,-4456,3856,19252,-74,-110,-421
30,-4072,3604,18728,-191,-157,-535
31,-2760,3244,17956,-253,-220,-686
32,-1240,2792,17464,-287,-225,-806
33,432,2180,17140,-334,-228,-853
34,1972,1680,16716,-355,-211,-845
35,2704,1468,16220,-385,-187,-758
36,3160,1268,15628,-412,-235,-654
37,4056,820,14900,-398,-223,-612
38,5328,616,14536,-319,-113,-618
39,6316,484,14008,-262,-17,-565
40,7076,508,13612,-213,43,-461
41,7220,228,13260,-176,39,-316
42,7104,148,12528,-143,66,-193
43,6108,60,12096,-93,143,-71
44,5248,-36,11388,-52,128,-12
45,4960,-128,10668,40,84,25
46,5224,-44,10516,200,22,49
47,5452,-76,10552,359,-32,114
48,5020,180,10896,500,-16,203
49,5000,528,11076,601,-10,264
50,4780,968,11236,692,-22,359
51,4032,1388,11400,776,-30,467
52,3328,1720,11728,839,-64,551
53,2112,2516,13032,928,-130,627
54,848,3672,14776,969,-356,678
55,64,4916,16404,965,-465,591
56,-104,5672,18364,984,-469,389
57,520,5748,20396,927,-404,188
58,1752,5872,21584,737,-261,85
59,1988,5744,22144,516,-213,160
60,1712,5528,22112,392,-221,200
61,1716,5668,21668,248,-97,171
62,1604,5496,21412,181,-11,130
63,1436,5284,20572,43,90,45
64,1568,4956,20040,-14,118,5
65,2040,4808,19260,-64,169,-42
66,2356,4652,18920,-105,186,-38
67,2252,4716,18540,-171,151,-13
68,2068,4828,18192,-257,158,-48
69,2176,4584,17908,-320,199,-124
