seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,5044,820,16976,-60,194,-307,0.09,-0.09,0.85,0.51239,-3.344309,13.769325,-117.408195
1,5892,820,16744,-24,111,-265,0.09,-0.09,0.85,0.515137,-3.199166,13.670425,-117.050957
2,6804,928,15624,-33,26,-223,0.09,-0.08,0.85,0.517334,-3.068689,13.696461,-116.748421
3,7612,1444,15352,-6,82,-168,0.09,-0.08,0.85,0.519104,-2.952652,13.816259,-116.488579
4,8016,1064,15636,9,79,-56,0.09,-0.08,0.85,0.520203,-2.810979,13.910681,-116.317551
5,8444,1364,14284,23,11,18,0.09,-0.08,0.84,0.520264,-2.695069,14.082037,-116.274246
6,8944,2204,13052,124,23,44,0.09,-0.08,0.84,0.519775,-2.527682,14.321985,-116.28643
7,9924,3132,12492,252,138,82,0.1,-0.08,0.85,0.518982,-2.186223,14.553182,-116.327042
8,10108,3460,13580,286,323,210,0.1,-0.08,0.85,0.5177,-1.699065,14.641171,-116.444504
9,9620,3764,13464,287,289,381,0.1,-0.07,0.85,0.515015,-1.227428,14.58165,-116.773979
10,8876,3796,12728,324,183,545,0.11,-0.07,0.85,0.510742,-0.797434,14.581554,-117.306175
11,8796,4092,12016,456,91,646,0.11,-0.07,0.85,0.505005,-0.320273,14.69034,-118.007339
12,9376,4556,12296,643,199,696,0.11,-0.06,0.86,0.49823,0.332768,14.8676,-118.822289
13,8960,4888,14604,715,367,793,0.12,-0.06,0.86,0.490723,1.170406,14.861776,-119.757233
14,7952,5420,15892,616,367,901,0.12,-0.05,0.87,0.4823,1.980759,14.668089,-120.855103
15,7208,5592,15304,559,327,974,0.12,-0.04,0.87,0.473022,2.645799,14.485756,-122.075455
16,6868,6260,16152,650,391,1072,0.12,-0.03,0.88,0.462952,3.308215,14.30251,-123.403839
17,5752,6132,16980,685,445,1245,0.12,-0.02,0.88,0.451477,4.054901,14.017298,-124.935265
18,4224,6196,17764,697,531,1353,0.12,-0.02,0.89,0.438477,4.755756,13.626539,-126.692238
19,1720,6372,19912,734,571,1494,0.12,-0.01,0.9,0.424316,5.455518,13.083543,-128.629135
20,-2108,6132,21792,730,192,1717,0.12,0.0,0.9,0.408325,6.143151,12.517832,-130.803116
21,-5612,5404,20840,694,-102,1764,0.12,0.01,0.91,0.390686,6.727813,12.322515,-133.122131
22,-9764,4732,22412,741,-68,1568,0.12,0.02,0.92,0.373474,7.293849,12.102992,-135.383881
23,-11664,4568,24184,728,-147,1162,0.12,0.03,0.93,0.35907,7.931029,11.647089,-137.318222
24,-12088,5156,24900,542,-255,706,0.12,0.03,0.93,0.349121,8.57729,11.151182,-138.687408
25,-11652,5764,24056,225,-220,260,0.11,0.04,0.93,0.344055,9.041377,10.647112,-139.420563
26,-10496,6016,23072,-28,-126,-137,0.11,0.04,0.93,0.343567,9.282399,10.033967,-139.569
27,-9240,6220,21536,-171,-55,-442,0.1,0.05,0.93,0.346863,9.340036,9.323647,-139.230682
28,-8116,6140,21240,-230,-9,-650,0.1,0.05,0.93,0.352783,9.339797,8.580008,-138.557602
29,-7220,5652,19408,-284,-65,-785,0.09,0.05,0.93,0.360413,9.291543,7.871328,-137.657944
30,-6664,5556,18464,-237,-28,-946,0.09,0.05,0.92,0.369324,9.223776,7.249443,-136.581726
31,-5484,5848,18284,-163,29,-1151,0.08,0.05,0.92,0.379761,9.251322,6.582822,-135.317566
32,-4244,6164,18780,-130,57,-1308,0.08,0.05,0.91,0.391968,9.382729,5.875572,-133.828873
33,-2844,6152,19200,-149,30,-1408,0.08,0.06,0.91,0.405212,9.530002,5.227393,-132.193802
34,-1476,5912,18488,-202,-20,-1485,0.07,0.06,0.9,0.41925,9.631339,4.690915,-130.43425
35,-360,5964,18468,-239,22,-1592,0.07,0.06,0.9,0.433899,9.649371,4.234926,-128.574356
36,1180,6232,17868,-241,38,-1709,0.07,0.06,0.89,0.449524,9.632193,3.789962,-126.571602
37,3280,6652,18252,-211,87,-1772,0.07,0.06,0.88,0.465881,9.651443,3.376662,-124.454285
38,5308,6788,18712,-212,7,-1717,0.06,0.06,0.87,0.482056,9.701941,3.068216,-122.334122
39,6768,6344,17776,-263,-86,-1585,0.07,0.06,0.86,0.497314,9.705305,3.022738,-120.29332
40,8060,6336,17036,-200,-145,-1486,0.07,0.06,0.85,0.51123,9.675562,3.156424,-118.397926
41,9832,6440,17160,-83,-207,-1382,0.07,0.06,0.85,0.524109,9.766285,3.45964,-116.608566
42,11748,6372,16900,-50,-199,-1192,0.08,0.05,0.84,0.535522,9.976463,3.936,-114.981041
43,12428,6108,17008,-57,-145,-937,0.08,0.05,0.83,0.5448,10.192171,4.481773,-113.621933
44,13500,5920,16312,-91,-156,-728,0.09,0.05,0.83,0.551758,10.356612,5.086182,-112.564568
45,14452,5892,15664,-96,-73,-500,0.09,0.05,0.82,0.556885,10.46714,5.755799,-111.745087
46,14468,5968,15472,-87,13,-227,0.1,0.04,0.82,0.559631,10.555281,6.396572,-111.259842
47,14396,6076,14276,-55,95,40,0.1,0.04,0.82,0.559998,10.637851,7.018869,-111.110245
48,13616,6308,14104,64,212,327,0.11,0.04,0.82,0.5578,10.781932,7.549137,-111.333046
49,12520,6324,14316,149,271,606,0.11,0.04,0.82,0.55304,11.009327,7.978961,-111.92749
50,11460,6384,13428,214,235,850,0.11,0.04,0.83,0.545776,11.269958,8.396127,-112.87706
51,9844,6420,13004,321,303,1072,0.12,0.04,0.83,0.536377,11.590868,8.814102,-114.119034
52,8448,6736,12792,427,359,1226,0.12,0.05,0.84,0.525024,11.993986,9.113729,-115.64917
53,7628,7056,12360,523,440,1306,0.13,0.05,0.85,0.512329,12.505174,9.315693,-117.37677
54,7808,7756,11992,609,582,1335,0.13,0.06,0.86,0.49884,13.12215,9.385414,-119.233627
55,7956,8724,12628,752,698,1420,0.13,0.06,0.86,0.484558,13.890038,9.323824,-121.222702
56,6668,10380,15280,962,770,1627,0.13,0.07,0.87,0.468567,14.878496,9.204618,-123.463348
57,4448,10772,17972,1028,585,1908,0.13,0.09,0.88,0.449951,16.053123,9.107673,-126.069298
58,2112,10184,17868,993,356,2093,0.14,0.1,0.89,0.429016,17.172049,9.305712,-128.952652
59,-1108,9776,18588,932,447,2118,0.14,0.11,0.9,0.407043,18.158594,9.577765,-131.961746
60,-5276,8828,21240,785,546,2066,0.14,0.12,0.9,0.385193,18.944899,9.531604,-134.982071
61,-8312,7920,21748,629,347,1895,0.14,0.12,0.91,0.364563,19.462563,9.280433,-137.818756
62,-10192,7408,21632,559,163,1604,0.14,0.13,0.92,0.346741,19.823151,9.036667,-140.233505
63,-10712,6964,22480,555,6,1241,0.13,0.14,0.92,0.332397,20.184658,8.781034,-142.169403
64,-8992,7056,22240,464,-127,829,0.13,0.14,0.93,0.322083,20.562582,8.557314,-143.567627
65,-6964,7884,22108,316,-74,549,0.13,0.15,0.93,0.315552,20.893625,8.348109,-144.463577
66,-6112,8076,21432,129,-12,420,0.13,0.15,0.93,0.311218,21.081238,8.063992,-145.05629
67,-5292,8308,20612,60,-38,323,0.12,0.15,0.93,0.307922,21.116798,7.749085,-145.492371
