timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,1056,-508,17248,-296,-69,247,-0.08,0.12,-0.99,-0.082642,-13.56424,9.851994,-169.431274,-960,1565,405,703,-1738,-138
20,1,952,-376,16412,-219,-30,239,-0.08,0.12,-0.99,-0.081421,-13.663876,9.792576,-169.572754,-927,1622,476,674,-1804,-79
40,2,888,-256,16760,-30,-70,174,-0.08,0.12,-0.99,-0.078125,-13.71477,9.657896,-169.963043,-861,1792,533,599,-1968,-52
60,3,880,208,15596,49,-96,157,-0.08,0.12,-0.99,-0.077271,-13.631176,9.625887,-170.068878,-874,1786,474,609,-1948,-106
80,4,760,-340,15664,60,-216,119,-0.08,0.12,-0.99,-0.074829,-13.273644,9.665612,-170.359756,-922,1838,119,611,-1913,-456
100,5,684,276,16784,23,-262,136,-0.08,0.12,-0.99,-0.074036,-13.163634,9.73122,-170.446594,-950,1802,95,644,-1875,-473
120,6,1208,1096,16996,-125,-163,170,-0.08,0.12,-0.99,-0.07135,-12.929785,9.923834,-170.737823,-951,1925,319,667,-2046,-281
140,7,1020,1336,16180,-219,-120,159,-0.08,0.12,-0.99,-0.070496,-12.908347,9.945884,-170.833176,-924,2035,368,633,-2159,-254
160,8,1048,1732,16716,-189,-213,120,-0.08,0.12,-0.99,-0.068359,-12.939452,10.023531,-171.063202,-891,2389,355,554,-2490,-341
180,9,1160,2260,17260,-128,-254,106,-0.08,0.12,-0.99,-0.067749,-12.914227,10.090772,-171.124954,-914,2453,405,577,-2566,-311
200,10,1664,3988,17848,-152,-220,40,-0.08,0.12,-0.99,-0.066406,-12.695618,10.353365,-171.25528,-857,2865,657,504,-3016,-142
220,11,2064,5104,18436,-132,-175,-43,-0.08,0.11,-0.99,-0.066284,-12.59352,10.436587,-171.264343,-797,3112,790,430,-3279,-53
240,12,2344,5268,17008,37,-196,-208,-0.09,0.11,-0.99,-0.068176,-11.964929,10.71208,-171.054718,-556,3798,895,98,-3940,-16
260,13,2388,5100,17724,34,-242,-250,-0.09,0.11,-0.99,-0.069336,-11.676152,10.849458,-170.92424,-528,3881,821,40,-4000,-81
280,14,3144,7024,18416,-125,-73,-326,-0.09,0.1,-0.99,-0.073792,-10.875501,11.244977,-170.419662,-402,4189,1104,-114,-4344,209
300,15,4044,8656,17832,-152,19,-467,-0.09,0.1,-0.99,-0.075928,-10.634736,11.309667,-170.183502,-282,4430,1139,-281,-4568,240
320,16,3580,7144,16688,-97,-13,-806,-0.09,0.09,-0.99,-0.086121,-9.711962,11.517843,-169.052643,87,5048,828,-890,-5038,-17
340,17,3356,6332,17444,-68,-60,-908,-0.09,0.09,-0.99,-0.09082,-9.387478,11.632263,-168.519547,82,4941,747,-922,-4912,-50
360,18,3980,7188,17560,-16,-24,-1053,-0.1,0.08,-0.99,-0.106445,-8.352031,12.004848,-166.742294,49,4611,817,-947,-4584,145
380,19,3876,6668,15580,-73,36,-1172,-0.1,0.08,-0.99,-0.112366,-7.957881,12.11909,-166.069824,103,4583,781,-1048,-4528,157
400,20,5248,7444,17688,-193,-14,-1380,-0.1,0.07,-0.98,-0.132568,-6.943566,12.473561,-163.749405,330,4492,500,-1460,-4290,25
420,21,5188,6176,16508,-138,32,-1563,-0.1,0.07,-0.98,-0.14032,-6.602719,12.615732,-162.851181,444,4457,600,-1603,-4221,178
440,22,5356,4736,16824,-84,-98,-1729,-0.1,0.07,-0.98,-0.166626,-5.492306,13.06201,-159.788681,578,3778,315,-1759,-3406,83
