seq,ax,ay,az,gx,gy,gz
0,-488,224,16960,20,55,14
1,-120,68,16588,-4,65,32
2,-220,-280,16156,-9,27,76
3,-788,-444,15948,19,-6,63
4,-792,-436,15936,67,6,-3
5,-960,-260,16372,100,20,-43
6,-1280,88,16648,116,-13,-79
7,-1320,28,16968,133,-29,-105
8,-1748,72,17428,118,-31,-106
9,-2668,76,17440,84,-93,-106
10,-3564,-16,17448,82,-151,-143
11,-4224,-52,17732,47,-167,-255
12,-4212,32,17776,-9,-175,-405
13,-4208,116,17464,-96,-165,-508
14,-4340,40,16768,-143,-157,-594
15,-4720,-24,16052,-149,-126,-684
16,-4784,300,16192,-65,-112,-837
17,-4460,496,16348,-40,-145,-915
18,-4452,568,16308,-59,-158,-992
19,-4540,712,16196,-62,-203,-1088
20,-4128,1036,15968,-69,-228,-1212
21,-3712,1280,16032,-59,-223,-1320
22,-3744,1152,16032,-60,-225,-1365
23,-3532,1512,15964,-23,-267,-1453
24,-3064,1964,16524,-19,-286,-1599
25,-2760,2180,16316,-74,-293,-1691
26,-1844,2532,15612,-126,-269,-1827
27,-924,2828,15732,-141,-180,-1937
28,-304,2920,15852,-145,-172,-1968
29,-20,3064,15192,-161,-192,-1992
30,624,3324,15116,-128,-198,-2055
31,1752,3812,15052,-88,-216,-2097
32,2120,3816,14728,-70,-226,-2058
33,2456,3696,15128,-37,-192,-2022
34,2936,3884,15216,-29,-203,-2028
35,3956,4244,14868,-20,-268,-1985
36,4512,4208,14700,33,-318,-1878
37,5184,4468,14944,87,-341,-1774
38,6288,4888,15456,116,-277,-1592
39,6516,4660,15420,63,-250,-1461
40,7280,4808,15184,61,-269,-1288
41,7528,4560,15472,107,-284,-1093
42,7288,4312,15448,126,-289,-933
43,6720,3940,15668,108,-196,-766
44,6716,3976,15628,87,-119,-640
45,7140,4068,15716,107,-90,-512
46,6664,3996,16124,110,-61,-321
47,5968,3772,15968,114,-54,-161
48,4940,3456,16168,153,-31,-54
49,4456,3204,16676,146,8,-14
50,3816,3056,16948,76,52,31
51,3484,2916,16484,16,45,60
52,3148,2796,16292,18,85,78
53,2792,2476,16260,8,86,97
54,2240,2212,16020,-10,100,113
55,1520,2228,16104,18,97,92
56,1424,2356,16224,62,62,45
57,1416,2552,16240,101,35,10
58,1640,2800,16276,134,39,22
