seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,1996,3472,17440,-86,130,-193,0.06,0.04,0.82,-0.56842,0.194111,8.209853,110.334267
1,1572,3656,17428,-5,124,-218,0.06,0.04,0.82,-0.566711,0.352107,8.007341,110.598106
2,1448,3612,18224,51,91,-220,0.05,0.04,0.82,-0.564941,0.5973,7.813274,110.873245
3,824,3732,18468,29,48,-236,0.05,0.04,0.82,-0.56311,0.888398,7.649746,111.155006
4,-280,3640,18016,-36,-1,-279,0.05,0.04,0.83,-0.561096,1.104107,7.50872,111.453163
5,-936,3404,17528,-34,-28,-397,0.05,0.05,0.83,-0.55835,1.276292,7.375761,111.851036
6,-1052,3520,17988,23,-61,-531,0.05,0.05,0.83,-0.554504,1.486583,7.233487,112.398788
7,-496,3796,16812,31,-149,-611,0.04,0.05,0.83,-0.549561,1.771214,7.165191,113.094086
8,-820,3708,17132,27,-36,-643,0.04,0.05,0.84,-0.544067,2.073894,7.134458,113.85672
9,-1360,3732,16528,16,-39,-714,0.04,0.05,0.84,-0.538208,2.366837,6.974927,114.674583
10,-1800,3980,16404,93,-6,-852,0.04,0.05,0.84,-0.531433,2.689126,6.783568,115.617233
11,-1872,4184,17468,172,39,-993,0.03,0.05,0.85,-0.523438,3.137585,6.507997,116.724983
12,-1700,4120,16956,151,-10,-1066,0.03,0.06,0.86,-0.514221,3.643333,6.21164,117.991821
13,-1984,4264,16692,132,-17,-1131,0.03,0.06,0.86,-0.504395,4.125223,5.938905,119.327499
14,-2272,4272,16696,167,-11,-1243,0.02,0.06,0.87,-0.493774,4.596926,5.639109,120.758018
15,-1840,4468,16700,242,-34,-1398,0.02,0.06,0.87,-0.481812,5.135265,5.317563,122.355164
16,-1460,4872,17332,279,-2,-1541,0.01,0.06,0.88,-0.468323,5.767188,4.991439,124.141312
17,-1312,5088,17596,267,-16,-1628,0.01,0.07,0.89,-0.453552,6.427347,4.623535,126.079475
18,-704,5492,16936,270,-54,-1723,0.01,0.07,0.9,-0.437805,7.065711,4.291413,128.12355
19,-112,5800,17228,304,-26,-1806,0.0,0.08,0.9,-0.420959,7.746529,3.960664,130.292572
20,448,6136,17396,314,-19,-1859,-0.0,0.08,0.91,-0.40332,8.454573,3.608057,132.545044
21,780,6200,16604,290,-39,-1921,-0.0,0.08,0.92,-0.38501,9.142526,3.250403,134.86203
22,1196,6616,16396,312,19,-2002,-0.01,0.09,0.93,-0.365906,9.805021,2.884225,137.260361
23,2044,6812,16816,358,43,-2046,-0.01,0.09,0.93,-0.345947,10.511992,2.437735,139.74939
24,2448,6876,16740,378,17,-2025,-0.02,0.1,0.94,-0.325684,11.243097,2.004282,142.263031
25,2844,6600,16776,412,2,-2011,-0.02,0.1,0.95,-0.305603,11.969323,1.606782,144.736328
26,3448,6800,16732,445,5,-2056,-0.02,0.11,0.95,-0.285278,12.709484,1.21533,147.224747
27,4412,7376,17572,478,47,-2100,-0.02,0.11,0.96,-0.264404,13.464891,0.802445,149.76857
28,5644,7804,18164,496,36,-2079,-0.03,0.12,0.96,-0.243225,14.246442,0.379361,152.33783
29,7060,8256,18236,515,-18,-2023,-0.03,0.13,0.97,-0.222412,15.033663,0.041488,154.844818
30,8188,8224,18768,511,8,-1910,-0.03,0.13,0.97,-0.202393,15.831183,-0.190715,157.238815
31,8556,7960,19032,459,58,-1757,-0.03,0.14,0.97,-0.183777,16.567993,-0.391674,159.449081
32,8632,7580,18876,407,73,-1641,-0.03,0.15,0.97,-0.166748,17.193001,-0.603451,161.460587
33,8992,7788,19304,412,52,-1531,-0.03,0.15,0.98,-0.15094,17.75448,-0.788514,163.314468
34,9568,7828,19752,446,-30,-1395,-0.03,0.16,0.98,-0.136292,18.328554,-0.856026,165.014252
35,9892,7676,20352,424,-48,-1246,-0.03,0.16,0.98,-0.123047,18.903276,-0.781642,166.526596
36,9752,7272,20492,320,-42,-1104,-0.02,0.17,0.98,-0.11145,19.386181,-0.653044,167.829636
37,9652,6976,20132,210,-33,-989,-0.02,0.17,0.98,-0.101257,19.704111,-0.491153,168.954071
38,9884,6640,19844,148,-2,-881,-0.02,0.17,0.98,-0.092285,19.899405,-0.316669,169.928116
39,9584,6304,19816,114,31,-769,-0.02,0.17,0.98,-0.084595,20.022842,-0.126699,170.750809
40,9444,6104,19504,67,-3,-666,-0.01,0.17,0.98,-0.077942,20.078987,0.076531,171.450943
41,9184,5932,19512,50,-40,-545,-0.01,0.17,0.98,-0.072388,20.100689,0.34665,172.016174
42,8592,5216,19384,41,-75,-439,-0.01,0.17,0.98,-0.067993,20.085339,0.692263,172.438126
43,8284,4780,18776,25,-109,-389,-0.0,0.17,0.98,-0.064392,20.037973,1.07937,172.764893
44,7848,4448,19052,36,-127,-394,0.0,0.17,0.98,-0.060974,19.964695,1.468768,173.069885
45,7828,4648,18860,83,-238,-414,0.01,0.17,0.98,-0.057251,19.915518,1.888385,173.403442
46,8452,5104,18496,142,-301,-349,0.01,0.17,0.98,-0.053406,19.950855,2.434349,173.728439
