seq,ax,ay,az,gx,gy,gz
0,-3656,2592,17100,-15,-3,25
1,-3640,2688,16920,3,-55,-15
2,-3356,2892,17316,31,-50,-37
3,-3656,3068,18376,60,-13,-2
4,-4536,3160,19164,45,-90,70
5,-5056,3396,19812,23,-165,71
6,-5632,3480,20476,-45,-199,25
7,-5636,3792,20804,-172,-246,-96
8,-4820,3680,20476,-322,-232,-220
9,-4248,3768,20380,-507,-213,-309
10,-3856,3700,19204,-632,-261,-343
11,-4296,3296,19028,-677,-164,-401
12,-3616,3172,19392,-755,-142,-521
13,-2772,3060,18924,-827,-261,-533
14,-2056,2728,17888,-911,-366,-476
15,-1916,2184,17160,-926,-385,-413
16,-1764,1448,16256,-938,-375,-383
17,-1872,728,15140,-942,-326,-386
18,-1636,332,14748,-882,-284,-421
19,-1380,-200,14292,-849,-277,-437
20,-1136,-784,13376,-842,-253,-451
21,-676,-1352,12528,-804,-175,-460
22,-584,-1964,12108,-752,-81,-448
23,-608,-2404,10840,-725,-9,-431
24,-792,-3036,9852,-595,44,-417
25,-836,-3448,9116,-426,89,-405
26,-1204,-3688,8420,-268,158,-411
27,-1320,-3556,8104,-92,219,-438
28,-1412,-3332,8624,169,264,-418
29,-1256,-2804,8820,285,216,-396
30,-1580,-2316,8860,460,179,-292
31,-2856,-2044,9408,650,179,-210
32,-3652,-1784,10432,795,189,-249
33,-4124,-1400,11512,857,188,-335
34,-3904,-700,12132,871,180,-430
35,-3928,148,12288,849,196,-481
36,-3716,616,12584,917,181,-524
37,-3312,900,13136,1008,158,-540
38,-3376,996,13808,1065,163,-547
39,-2844,1384,14484,1120,162,-588
40,-2488,1976,15352,1126,151,-584
41,-2284,2484,15556,1161,116,-563
42,-1992,3208,16640,1240,105,-560
43,-1656,3864,18316,1272,91,-555
44,-1024,4664,19592,1249,40,-529
45,-960,5428,21272,1177,25,-487
46,-928,6168,22880,1040,1,-480
47,-220,7104,23524,830,-72,-481
48,264,7376,23384,620,-166,-424
49,804,7312,23108,453,-212,-366
50,1796,7352,22544,281,-177,-329
51,2788,7356,21916,119,-157,-243
52,3196,6992,20856,-14,-158,-103
53,3172,6696,19796,-92,-130,33
54,3268,6628,19292,-180,-115,177
55,3100,6460,18556,-234,-143,273
56,3244,6240,17436,-290,-147,381
57,3308,6060,16928,-315,-121,493
58,3448,6036,15592,-380,-68,654
59,3152,5812,15240,-372,12,760
60,2428,5508,15072,-303,28,904
61,1716,5216,15036,-259,60,1018
62,820,4692,15200,-246,110,1105
63,64,4456,14896,-241,119,1153
64,-820,4004,14636,-232,139,1189
65,-1596,4000,14496,-197,183,1148
66,-1796,4040,14720,-164,216,1109
67,-2308,3908,14964,-161,255,1126
68,-3500,3432,14828,-148,268,1141
69,-4092,3240,15044,-112,303,1072
70,-4760,3260,15192,-111,357,968
71,-5388,3436,15476,-122,376,925
72,-6064,2968,15752,-110,368,873
73,-6988,2616,16080,-97,360,813
74,-7956,2300,16284,-91,321,732
75,-8824,1696,16132,-103,227,559
76,-8332,1652,15912,-100,178,339
77,-7652,1892,16120,-97,163,189
78,-6488,2180,16092,-107,142,65
79,-5628,2348,15716,-116,74,4
80,-5064,2712,15412,-82,42,-36
81,-4368,2796,15480,-32,18,-65
82,-3584,3008,16060,-19,24,-65
83,-3268,2912,15636,-50,24,-41
84,-3028,2688,15272,-38,48,-70
85,-2756,2680,15496,-7,48,-87
86,-2692,2836,15972,57,-18,-67
87,-2980,2532,15940,94,-172,-44
