timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,360,-10512,13324,185,322,-436,0.15,0.17,-0.79,-0.56781,-26.107594,-2.838322,-110.027519,146,-456,-363,498,308,-132
20,1,708,-12440,10880,130,425,-323,0.15,0.17,-0.79,-0.569824,-26.129816,-2.906672,-109.687927,290,-920,-576,942,598,-126
40,2,884,-12320,6504,53,374,2,0.16,0.17,-0.79,-0.572388,-26.435591,-3.17541,-109.19252,553,-1733,-1510,1970,1154,-610
60,3,1320,-11156,4460,194,114,122,0.16,0.17,-0.79,-0.572632,-26.802568,-3.475913,-109.052818,736,-1987,-2770,2703,1495,-1618
80,4,2060,-12160,3620,366,-100,208,0.16,0.17,-0.79,-0.571838,-26.979061,-3.539547,-109.153419,979,-2025,-3854,3155,1829,-2571
100,5,3128,-11444,2012,522,-311,304,0.16,0.17,-0.79,-0.570129,-26.9921,-3.394573,-109.468491,1274,-2071,-4740,3493,2220,-3353
120,6,4464,-13488,1532,505,-512,436,0.16,0.17,-0.79,-0.567566,-26.84211,-3.005237,-109.988838,1639,-2148,-5480,3740,2709,-4000
140,7,5444,-12824,-840,465,-626,711,0.15,0.18,-0.79,-0.563171,-26.808895,-2.437908,-110.834312,2049,-2556,-6053,4151,3370,-4332
160,8,6144,-12664,-2460,585,-925,873,0.15,0.18,-0.8,-0.556335,-26.845495,-1.82681,-112.057556,2437,-2653,-6944,4407,4005,-5073
180,9,7664,-15124,780,1034,-1221,1015,0.14,0.19,-0.8,-0.547729,-26.725334,-0.909082,-113.599716,2780,-2819,-7545,4532,4652,-5514
200,10,8452,-12696,484,1311,-1231,1378,0.12,0.19,-0.81,-0.537476,-26.127016,0.239346,-115.370308,3155,-3312,-7301,4448,5348,-5083
220,11,9252,-11592,-1100,1299,-1460,1612,0.11,0.19,-0.82,-0.524292,-25.208336,1.323004,-117.457031,3519,-3045,-7377,3774,5813,-5295
240,12,10756,-11588,3956,1510,-1968,1878,0.09,0.19,-0.83,-0.508179,-24.276924,2.687702,-119.86676,3793,-2852,-7580,3150,6263,-5553
260,13,10896,-7428,9008,1722,-2090,2324,0.06,0.19,-0.85,-0.48822,-23.119852,4.503052,-122.648872,4074,-2742,-6439,2030,6412,-4510
280,14,10620,752,10684,1708,-2111,2541,0.04,0.19,-0.86,-0.463745,-21.604208,6.304055,-125.771011,4161,-1549,-4832,39,5587,-3441
300,15,10716,3004,13876,1454,-2456,2406,0.01,0.19,-0.88,-0.437256,-19.855907,8.180025,-128.891525,4014,634,-3639,-2300,3909,-3029
320,16,11100,6020,23384,1208,-2813,2468,-0.02,0.18,-0.89,-0.410461,-18.357538,10.616308,-131.812271,3795,2119,-1877,-3866,2132,-1707
340,17,9576,12552,30348,1061,-2745,2511,-0.05,0.18,-0.91,-0.38208,-17.091814,13.332006,-134.700546,3461,3661,1096,-5080,-425,770
360,18,7400,20344,32767,824,-2291,2116,-0.08,0.17,-0.92,-0.353821,-15.732957,15.823809,-137.437149,2788,6188,4320,-6123,-4163,3146
380,19,6636,18276,32767,612,-1427,1388,-0.11,0.16,-0.92,-0.331665,-14.136498,17.753025,-139.491486,1913,8704,6399,-6524,-7606,4468
400,20,6304,16204,30968,480,-909,920,-0.12,0.15,-0.93,-0.317749,-12.579533,18.868031,-140.786896,1216,9475,7511,-5904,-9160,5377
420,21,6572,15096,28420,357,-791,613,-0.13,0.14,-0.93,-0.30896,-11.16044,19.553219,-141.619568,804,9298,7577,-5114,-9339,5578
440,22,7064,14900,28964,278,-857,339,-0.14,0.13,-0.93,-0.303345,-9.899828,20.245882,-142.096375,592,8976,7132,-4558,-9078,5349
460,23,7836,12916,30292,172,-683,57,-0.15,0.12,-0.93,-0.300476,-8.662456,21.05905,-142.235138,534,8682,7145,-4112,-8880,5563
480,24,7504,12184,27996,140,-230,-123,-0.16,0.12,-0.93,-0.300659,-7.495452,21.641924,-142.076019,633,8008,7353,-3596,-8319,6039
500,25,6812,10804,24380,199,75,-331,-0.16,0.11,-0.93,-0.303162,-6.344958,21.734804,-141.774429,648,7344,6771,-3287,-7516,5737
520,26,5680,12056,21456,229,154,-512,-0.16,0.1,-0.93,-0.307617,-5.137597,21.544748,-141.314392,488,6715,5660,-3048,-6665,4863
540,27,6292,12300,22264,118,119,-808,-0.17,0.09,-0.93,-0.314087,-3.820866,21.314053,-140.618042,257,6588,4567,-3089,-6273,3930
560,28,7296,10544,20288,-136,294,-1080,-0.17,0.08,-0.93,-0.323608,-2.525809,21.089159,-139.541153,277,6369,3989,-3176,-5815,3556
580,29,7620,8400,16864,-319,418,-1230,-0.16,0.07,-0.92,-0.335999,-1.541895,20.729017,-138.123367,526,5780,3135,-3309,-4871,2971
600,30,7476,8920,14960,-367,397,-1342,-0.16,0.07,-0.92,-0.349792,-0.856066,20.318064,-136.521957,744,5076,1941,-3418,-3791,2007
620,31,7936,9144,14156,-326,349,-1564,-0.16,0.07,-0.91,-0.364746,-0.171788,19.953365,-134.752335,864,4784,911,-3659,-3127,1137
640,32,8212,8908,12992,-273,332,-1798,-0.16,0.06,-0.91,-0.381653,0.65617,19.663143,-132.697983,1047,4524,188,-3868,-2510,578
660,33,8992,7096,12968,-325,197,-2031,-0.16,0.06,-0.9,-0.400513,1.583467,19.418009,-130.35672,1270,4261,-481,-4064,-1863,79
680,34,9936,5832,14172,-282,128,-2138,-0.16,0.05,-0.89,-0.421021,2.460722,19.333212,-127.732231,1580,3669,-796,-3946,-1006,-78
700,35,10364,6932,13396,-259,190,-2190,-0.16,0.05,-0.88,-0.441956,3.344096,19.282694,-125.004234,1910,3053,-712,-3662,-224,127
720,36,10832,6092,12060,-334,113,-2356,-0.16,0.05,-0.87,-0.463257,4.254316,19.166384,-122.200523,2221,2908,-925,-3760,324,61
740,37,10916,5644,14128,-276,-68,-2475,-0.17,0.04,-0.86,-0.485718,5.164371,19.165468,-119.162392,2471,2559,-1146,-3614,951,-49
760,38,10744,6308,14940,-214,-80,-2603,-0.17,0.04,-0.84,-0.508667,6.13317,19.254427,-115.970642,2581,2256,-868,-3275,1308,263
780,39,11188,6032,15168,-172,-12,-2840,-0.17,0.04,-0.83,-0.532288,7.24636,19.25149,-112.629013,2641,2212,-514,-3090,1467,652
800,40,12876,608,13940,-42,64,-3123,-0.18,0.03,-0.8,-0.570618,9.125896,18.926329,-107.107079,3077,1364,-454,-2252,2419,778
820,41,12632,-1164,13388,85,69,-3061,-0.18,0.03,-0.79,-0.583618,9.718798,18.78471,-105.194107,3273,607,-497,-1522,2922,687
840,42,12228,-2120,13184,220,2,-2954,-0.18,0.03,-0.77,-0.608093,10.861496,18.473326,-101.522438,3473,-762,-667,-114,3599,343
860,43,12848,-3212,13152,252,-162,-2967,-0.19,0.02,-0.75,-0.630859,12.03523,18.198864,-97.975235,3561,-1776,-826,1018,3934,-7
880,44,14212,-9984,17296,261,-486,-2943,-0.19,0.02,-0.72,-0.66394,13.616374,18.166821,-92.540131,3909,-3706,-557,3279,4308,-124
900,45,14132,-12548,19556,319,-464,-2699,-0.2,0.03,-0.71,-0.674194,13.98929,18.283712,-90.799736,4065,-4658,-27,4452,4285,181
920,46,13408,-13812,18560,139,-352,-2155,-0.2,0.03,-0.68,-0.700012,14.576077,18.568607,-86.424339,4239,-7036,1201,7367,3749,773
940,47,12444,-15092,19896,106,-394,-1862,-0.2,0.03,-0.68,-0.70697,14.562901,18.685476,-85.26503,4165,-7536,1371,7962,3465,796
960,48,11512,-15432,21976,162,-335,-1450,-0.2,0.04,-0.66,-0.723389,14.197704,19.125154,-82.565582,3635,-8681,2324,9361,2159,1308
980,49,10408,-13740,21428,155,-208,-1032,-0.2,0.05,-0.66,-0.727295,13.98966,19.22543,-81.957703,3406,-8854,2586,9569,1722,1469
1000,50,9420,-13680,24668,48,-175,-675,-0.2,0.06,-0.65,-0.735596,13.174777,19.515654,-80.759407,2697,-8592,3324,9349,554,2105
1020,51,9220,-12244,26048,50,-13,-439,-0.19,0.06,-0.64,-0.737488,12.800505,19.577288,-80.544342,2496,-8522,3764,9310,155,2515
1040,52,9164,-12056,26380,-6,256,-212,-0.18,0.06,-0.64,-0.740662,11.527473,19.369143,-80.441132,2138,-7869,4812,8709,-550,3673
1060,53,8912,-11700,27076,-121,428,79,-0.18,0.07,-0.64,-0.741028,11.009739,19.184063,-80.568802,2068,-7730,4998,8557,-654,3919
1080,54,8980,-11500,27940,-163,668,357,-0.16,0.07,-0.65,-0.739563,9.151175,18.356941,-81.486359,2010,-7230,5625,8017,-730,4812
1100,55,8816,-9752,26320,-129,986,640,-0.16,0.07,-0.65,-0.738159,8.490779,17.933895,-81.967995,2033,-6982,5705,7739,-623,5013
1120,56,8204,-7040,25032,-100,1200,887,-0.14,0.07,-0.66,-0.731445,6.686436,16.263947,-83.798813,2080,-5840,5272,6454,-2,4956
1140,57,8128,-7424,25192,-167,1258,978,-0.13,0.07,-0.67,-0.728577,6.147467,15.627654,-84.490761,2089,-5399,5095,5964,211,4884
