seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3728,10100,17288,309,201,68,-0.24,0.11,-0.02,-0.964905,27.508362,13.299518,-5.772817
1,3340,10172,17268,333,272,14,-0.24,0.11,-0.02,-0.9646,27.702993,13.183708,-5.847865
2,3464,11372,18184,343,395,-94,-0.24,0.11,-0.03,-0.963806,28.357941,12.558239,-5.897027
3,3248,11388,20380,325,399,-47,-0.25,0.1,-0.03,-0.963501,28.590208,12.285863,-5.872666
4,2504,10904,21188,17,172,41,-0.25,0.1,-0.03,-0.963196,28.96924,11.619681,-5.881208
5,2472,10708,20764,-180,151,26,-0.25,0.1,-0.03,-0.96344,28.92012,11.486668,-5.878674
6,1216,10388,21212,-309,121,-77,-0.24,0.09,-0.03,-0.964844,28.407396,11.054617,-5.73945
7,976,9860,21060,-282,36,-172,-0.24,0.09,-0.03,-0.965454,28.186626,10.881539,-5.617897
8,1912,10420,21920,-185,0,-327,-0.24,0.09,-0.02,-0.966919,27.712425,10.401522,-5.035644
9,2400,10928,23460,-165,1,-314,-0.24,0.09,-0.02,-0.967285,27.601713,10.242162,-4.792411
10,2284,10960,25448,-280,-111,-188,-0.23,0.08,-0.02,-0.968384,27.226479,9.893053,-4.188947
11,2096,10668,24932,-452,-202,-154,-0.23,0.08,-0.02,-0.968872,27.011639,9.854175,-4.032351
12,1900,10232,24724,-698,-113,-174,-0.22,0.09,-0.01,-0.971008,25.968519,9.833055,-3.525273
13,1852,10124,25028,-822,-21,-223,-0.22,0.08,-0.01,-0.971985,25.500675,9.766687,-3.320148
14,1628,10352,25492,-997,24,-329,-0.2,0.08,-0.01,-0.975342,23.834341,9.362427,-2.531373
15,1516,10600,26524,-1042,-26,-371,-0.2,0.08,-0.0,-0.976562,23.226723,9.194943,-2.206559
16,2436,10476,26260,-1241,-195,-407,-0.18,0.08,0.0,-0.979919,21.328014,8.855744,-1.132077
17,3368,9872,25516,-1497,-67,-433,-0.18,0.08,0.01,-0.981079,20.599373,8.818126,-0.747117
18,2528,9096,24364,-1899,325,-429,-0.15,0.08,0.02,-0.985352,17.764347,8.372506,0.522953
19,1584,8828,24452,-1971,416,-447,-0.14,0.07,0.02,-0.986877,16.653358,8.067839,0.960047
20,1248,8840,24164,-2058,227,-461,-0.11,0.07,0.03,-0.991089,13.26818,7.047573,2.325569
21,1148,8584,22700,-2142,92,-408,-0.1,0.06,0.03,-0.992249,12.116658,6.815473,2.764242
22,492,7476,20312,-2182,52,-435,-0.07,0.06,0.04,-0.994934,8.572913,6.405469,3.992404
23,1284,6740,19112,-2171,71,-547,-0.06,0.06,0.04,-0.995544,7.39552,6.280605,4.425816
24,2356,6396,17956,-2122,158,-634,-0.03,0.05,0.05,-0.996704,3.940429,5.946342,5.916876
25,2292,6136,17928,-2092,126,-618,-0.02,0.05,0.06,-0.996826,2.824484,5.836462,6.424131
26,3572,5796,14744,-2072,-93,-586,0.01,0.05,0.07,-0.996399,-0.433299,5.773534,7.902517
27,4276,4984,13152,-2041,-47,-528,0.02,0.05,0.07,-0.996033,-1.495422,5.887586,8.37118
28,4292,3820,12068,-1960,87,-450,0.04,0.05,0.08,-0.994446,-4.653606,6.159371,9.620761
29,4196,3476,11328,-1891,79,-452,0.05,0.05,0.08,-0.993774,-5.676622,6.209468,10.002295
30,5148,2984,9280,-1770,52,-470,0.08,0.05,0.09,-0.991272,-8.595393,6.443286,11.134644
31,5396,2432,8580,-1688,136,-441,0.09,0.05,0.1,-0.990295,-9.517107,6.555866,11.516365
32,5068,948,8012,-1550,197,-383,0.11,0.05,0.1,-0.987183,-12.155248,6.742543,12.551421
33,5268,404,7180,-1399,184,-385,0.12,0.05,0.11,-0.986084,-12.983001,6.782764,12.864476
34,4928,-944,7060,-1097,267,-353,0.14,0.05,0.11,-0.98291,-15.149574,6.930055,13.748976
35,5020,-1156,7488,-954,264,-333,0.14,0.04,0.12,-0.981934,-15.743183,6.934778,14.015793
36,5068,-2096,7812,-808,210,-259,0.16,0.04,0.12,-0.979248,-17.25699,6.977739,14.732254
37,5144,-2460,7516,-738,219,-203,0.16,0.04,0.12,-0.978394,-17.710346,7.013361,14.929468
38,4296,-3248,7988,-574,249,-98,0.17,0.04,0.13,-0.976196,-18.93215,7.004382,15.356698
39,3616,-3768,8152,-466,194,-85,0.17,0.04,0.13,-0.975586,-19.269897,6.971095,15.437377
40,3304,-4296,8336,-247,146,-166,0.18,0.04,0.13,-0.974121,-20.054264,6.927626,15.677298
41,3520,-4180,8972,-133,188,-251,0.18,0.04,0.13,-0.973328,-20.344296,6.939245,15.944239
42,3992,-4292,9612,-20,190,-238,0.18,0.04,0.14,-0.972717,-20.466625,6.949408,16.272238
43,4332,-4208,10348,87,157,-128,0.18,0.04,0.14,-0.972412,-20.438908,6.970345,16.543911
44,3440,-4520,11552,174,83,27,0.18,0.04,0.14,-0.972473,-20.296169,6.986324,16.657003
45,2484,-5012,11232,206,-100,88,0.18,0.04,0.14,-0.9729,-20.100761,7.019813,16.577942
46,2208,-5368,11048,270,-163,-18,0.18,0.04,0.14,-0.973267,-19.898966,7.192669,16.493435
